Entry	Entry name	Protein names	Organism	Length	EC number	Gene names	Pathway	Cofactor	Subunit structure [CC]
P51970	NDUA8_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 (Complex I-19kD) (CI-19kD) (Complex I-PGIV) (CI-PGIV) (NADH-ubiquinone oxidoreductase 19 kDa subunit)	Homo sapiens (Human)	172		NDUFA8			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:21310150, ECO:0000269|PubMed:27626371}.
Q9CQ75	NDUA2_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8) (CI-B8) (NADH-ubiquinone oxidoreductase B8 subunit)	Mus musculus (Mouse)	99		Ndufa2			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:O43678}.
Q8HXG6	NDUAB_BOVIN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 (Complex I-B14.7) (CI-B14.7) (NADH-ubiquinone oxidoreductase subunit B14.7)	Bos taurus (Bovine)	141		NDUFA11			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:12381726}.
P0CB90	NDUAA_PONPY	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)	Pongo pygmaeus (Bornean orangutan)	355		NDUFA10		COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000250};  Note=Binds 1 FAD per subunit. {ECO:0000250};	SUBUNIT: Complex I is composed of 45 different subunits. This a component of the hydrophobic protein fraction. {ECO:0000250|UniProtKB:O95299}.
P0CB89	NDUAA_PONAB	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	355		NDUFA10		COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000250};  Note=Binds 1 FAD per subunit. {ECO:0000250};	SUBUNIT: Complex I is composed of 45 different subunits. This a component of the hydrophobic protein fraction. {ECO:0000250|UniProtKB:O95299}.
O15239	NDUA1_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 (Complex I-MWFE) (CI-MWFE) (NADH-ubiquinone oxidoreductase MWFE subunit)	Homo sapiens (Human)	70		NDUFA1			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:27626371}.
Q0MQA5	NDUA6_PANTR	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 (Complex I-B14) (CI-B14) (NADH-ubiquinone oxidoreductase B14 subunit)	Pan troglodytes (Chimpanzee)	128		NDUFA6			SUBUNIT: Mammalian complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:P56556}.
Q0MQA3	NDUA6_PONPY	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 (Complex I-B14) (CI-B14) (NADH-ubiquinone oxidoreductase B14 subunit)	Pongo pygmaeus (Bornean orangutan)	128		NDUFA6			SUBUNIT: Mammalian complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:P56556}.
O95182	NDUA7_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (CI-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)	Homo sapiens (Human)	113		NDUFA7			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:27626371}.
P42029	NDUA8_BOVIN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 (Complex I-19kD) (CI-19kD) (Complex I-PGIV) (CI-PGIV) (NADH-ubiquinone oxidoreductase 19 kDa subunit)	Bos taurus (Bovine)	172		NDUFA8			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:18721790}.
Q0MQA8	NDUA7_PANTR	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (CI-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)	Pan troglodytes (Chimpanzee)	113		NDUFA7			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:O95182}.
Q0MQA6	NDUA7_PONPY	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (CI-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)	Pongo pygmaeus (Bornean orangutan)	113		NDUFA7			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:O95182}.
P23935	NDUA5_BOVIN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit)	Bos taurus (Bovine)	116		NDUFA5			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:10852722, ECO:0000269|PubMed:18721790}.
Q02366	NDUA6_BOVIN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 (Complex I-B14) (CI-B14) (NADH-ubiquinone oxidoreductase B14 subunit)	Bos taurus (Bovine)	128		NDUFA6			SUBUNIT: Mammalian complex I is composed of 45 different subunits. {ECO:0000269|PubMed:10852722, ECO:0000269|PubMed:18721790}.
Q86Y39	NDUAB_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 (Complex I-B14.7) (CI-B14.7) (NADH-ubiquinone oxidoreductase subunit B14.7)	Homo sapiens (Human)	141		NDUFA11			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:27626371}.
Q02377	NDUA1_BOVIN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 (Complex I-MWFE) (CI-MWFE) (NADH-ubiquinone oxidoreductase MWFE subunit)	Bos taurus (Bovine)	70		NDUFA1			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:18721790}.
P0CB99	NDUA5_PONAB	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	116		NDUFA5			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:Q16718}.
Q0MQ89	NDUAD_GORGO	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Complex I-B16.6) (CI-B16.6) (NADH-ubiquinone oxidoreductase B16.6 subunit)	Gorilla gorilla gorilla (Western lowland gorilla)	144		NDUFA13			SUBUNIT: Complex I is composed of 45 different subunits. Interacts with CARD15, but not with CARD4. Interacts with STAT3, but not with STAT1, STAT2 and STAT5A. Interacts with OLFM4. {ECO:0000250|UniProtKB:Q9P0J0}.
Q0MQ95	NDUA3_GORGO	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (CI-B9) (NADH-ubiquinone oxidoreductase B9 subunit)	Gorilla gorilla gorilla (Western lowland gorilla)	84		NDUFA3			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:O95167}.
Q9UI09	NDUAC_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 (13 kDa differentiation-associated protein) (Complex I-B17.2) (CI-B17.2) (CIB17.2) (NADH-ubiquinone oxidoreductase subunit B17.2)	Homo sapiens (Human)	145		NDUFA12 DAP13			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:27626371}.
Q62425	NDUA4_MOUSE	Cytochrome c oxidase subunit NDUFA4	Mus musculus (Mouse)	82		Ndufa4			SUBUNIT: Component of the cytochrome c oxidase complex (COX, complex IV). {ECO:0000269|PubMed:11994422}.
Q59J78	NDUF2_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 (Mimitin) (Myc-induced mitochondrial protein) (MMTN) (NDUFA12-like protein)	Mus musculus (Mouse)	168		Ndufaf2 Ndufa12l			
Q0MQ97	NDUA4_PONPY	Cytochrome c oxidase subunit NDUFA4	Pongo pygmaeus (Bornean orangutan)	81		NDUFA4			SUBUNIT: Component of the cytochrome c oxidase complex (COX, complex IV). {ECO:0000250}.
Q16795	NDUA9_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit)	Homo sapiens (Human)	377		NDUFA9 NDUFS2L		COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692;  Note=Binds 1 FAD per subunit.;	SUBUNIT: Complex I is composed of 45 different subunits. This a component of the hydrophobic protein fraction (PubMed:12611891, PubMed:27626371). Interacts with BLOC1S1 (PubMed:22309213). Interacts with SLC2A4 (By similarity). Interacts with CLOCK (PubMed:28985504). {ECO:0000250|UniProtKB:Q5BK63, ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:22309213, ECO:0000269|PubMed:27626371, ECO:0000269|PubMed:28985504}.
Q4R542	NDUA4_MACFA	Cytochrome c oxidase subunit NDUFA4	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	81		NDUFA4 QccE-19919			SUBUNIT: Component of the cytochrome c oxidase complex (COX, complex IV). {ECO:0000250}.
O00483	NDUA4_HUMAN	Cytochrome c oxidase subunit NDUFA4 (Complex I-MLRQ) (CI-MLRQ) (NADH-ubiquinone oxidoreductase MLRQ subunit)	Homo sapiens (Human)	81		NDUFA4			SUBUNIT: Component of the cytochrome c oxidase complex (COX, complex IV). {ECO:0000269|PubMed:23746447}.
P0CB82	NDUA9_PONPY	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit)	Pongo pygmaeus (Bornean orangutan)	377		NDUFA9		COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000250};  Note=Binds 1 FAD per subunit. {ECO:0000250};	SUBUNIT: Complex I is composed of 45 different subunits. This a component of the hydrophobic protein fraction. Interacts with BLOC1S1 (By similarity). Interacts with SLC2A4. Interacts with CLOCK (By similarity). {ECO:0000250|UniProtKB:Q16795, ECO:0000250|UniProtKB:Q5BK63}.
Q4R5E2	NDUA2_MACFA	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8) (CI-B8) (NADH-ubiquinone oxidoreductase B8 subunit)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	99		NDUFA2 QnpA-16235			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:O43678}.
Q9CQ91	NDUA3_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (CI-B9) (NADH-ubiquinone oxidoreductase B9 subunit)	Mus musculus (Mouse)	84		Ndufa3			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:O95167}.
Q0MQB8	NDUAB_PONPY	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 (Complex I-B14.7) (CI-B14.7) (NADH-ubiquinone oxidoreductase subunit B14.7)	Pongo pygmaeus (Bornean orangutan)	141		NDUFA11			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:Q86Y39}.
P0CB91	NDUA8_PONAB	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 (Complex I-19kD) (CI-19kD) (NADH-ubiquinone oxidoreductase 19 kDa subunit)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	172		NDUFA8			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:P51970}.
Q02371	NDUA3_BOVIN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (CI-B9) (NADH-ubiquinone oxidoreductase B9 subunit)	Bos taurus (Bovine)	84		NDUFA3			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:1518044, ECO:0000269|PubMed:18721790}.
Q4R5J1	NDUA5_MACFA	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	116		NDUFA5 QflA-12444			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:Q16718}.
P0CB80	NDUA2_PONPY	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8) (CI-B8) (NADH-ubiquinone oxidoreductase B8 subunit)	Pongo pygmaeus (Bornean orangutan)	103		NDUFA2			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:O43678}.
Q32P65	NDUF2_BOVIN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 (Mimitin) (Myc-induced mitochondrial protein) (MMTN) (NDUFA12-like protein)	Bos taurus (Bovine)	168		NDUFAF2 NDUFA12L			
Q9CQZ5	NDUA6_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 (Complex I-B14) (CI-B14) (NADH-ubiquinone oxidoreductase B14 subunit)	Mus musculus (Mouse)	131		Ndufa6			SUBUNIT: Mammalian complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:P56556}.
Q0MQB3	NDUA9_GORGO	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit)	Gorilla gorilla gorilla (Western lowland gorilla)	377		NDUFA9		COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000250};  Note=Binds 1 FAD per subunit. {ECO:0000250};	SUBUNIT: Complex I is composed of 45 different subunits. This a component of the hydrophobic protein fraction. Interacts with BLOC1S1 (By similarity). Interacts with SLC2A4 (By similarity). {ECO:0000250|UniProtKB:Q16795, ECO:0000250|UniProtKB:Q5BK63}.
Q4FZG9	NUA4L_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2	Mus musculus (Mouse)	87		Ndufa4l2			
Q3YAJ5	NDUA4_MACMU	Cytochrome c oxidase subunit NDUFA4	Macaca mulatta (Rhesus macaque)	81		NDUFA4			SUBUNIT: Component of the cytochrome c oxidase complex (COX, complex IV). {ECO:0000250}.
Q0MQA1	NDUA5_GORGO	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit)	Gorilla gorilla gorilla (Western lowland gorilla)	116		NDUFA5			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:Q16718}.
Q16718	NDUA5_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit)	Homo sapiens (Human)	116		NDUFA5			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:27626371}.
Q9WU08	NDUA1_CRIGR	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 (Complex I-MWFE) (CI-MWFE) (NADH-ubiquinone oxidoreductase MWFE subunit)	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	70		NDUFA1			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:O15239}.
P34942	NDUAA_BOVIN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)	Bos taurus (Bovine)	343		NDUFA10		COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692;  Note=Binds 1 FAD per subunit.;	SUBUNIT: Complex I is composed of 45 different subunits. This a component of the hydrophobic protein fraction. {ECO:0000269|PubMed:10852722, ECO:0000269|PubMed:18721790}.
Q561S0	NDUAA_RAT	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)	Rattus norvegicus (Rat)	355		Ndufa10		COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000250};  Note=Binds 1 FAD per subunit. {ECO:0000250};	SUBUNIT: Complex I is composed of 45 different subunits. This a component of the hydrophobic protein fraction. {ECO:0000250|UniProtKB:O95299}.
Q0MQ90	NDUAD_PANTR	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Complex I-B16.6) (CI-B16.6) (NADH-ubiquinone oxidoreductase B16.6 subunit)	Pan troglodytes (Chimpanzee)	144		NDUFA13			SUBUNIT: Complex I is composed of 45 different subunits. Interacts with CARD15, but not with CARD4. Interacts with STAT3, but not with STAT1, STAT2 and STAT5A. Interacts with OLFM4. {ECO:0000250|UniProtKB:Q9P0J0}.
Q7JGX4	NDUA1_PANPA	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 (Complex I-MWFE) (CI-MWFE) (NADH-ubiquinone oxidoreductase MWFE subunit)	Pan paniscus (Pygmy chimpanzee) (Bonobo)	70		NDUFA1			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:O15239}.
P34943	NDUA9_BOVIN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit)	Bos taurus (Bovine)	380		NDUFA9		COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692;  Note=Binds 1 FAD per subunit.;	SUBUNIT: Complex I is composed of 45 different subunits. This a component of the hydrophobic protein fraction (PubMed:10852722, PubMed:18721790). Interacts with BLOC1S1 (By similarity). Interacts with SLC2A4 (By similarity). {ECO:0000250|UniProtKB:Q5BK63, ECO:0000269|PubMed:10852722, ECO:0000269|PubMed:18721790}.
Q0MQB6	NDUAA_GORGO	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)	Gorilla gorilla gorilla (Western lowland gorilla)	355		NDUFA10		COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000250};  Note=Binds 1 FAD per subunit. {ECO:0000250};	SUBUNIT: Complex I is composed of 45 different subunits. This a component of the hydrophobic protein fraction. {ECO:0000250|UniProtKB:O95299}.
O97725	NDUAC_BOVIN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 (Complex I-B17.2) (CI-B17.2) (CIB17.2) (NADH-ubiquinone oxidoreductase subunit B17.2)	Bos taurus (Bovine)	145		NDUFA12			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:18721790}.
O35683	NDUA1_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 (Complex I-MWFE) (CI-MWFE) (NADH-ubiquinone oxidoreductase MWFE subunit)	Mus musculus (Mouse)	70		Ndufa1			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:O15239}.
Q0MQA2	NDUA5_PANTR	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit)	Pan troglodytes (Chimpanzee)	116		NDUFA5			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:Q16718}.
