Entry	Entry name	Protein names	Organism	Length	EC number	Gene names	Pathway	Cofactor	Subunit structure [CC]
Q34312	NDUS1_DICDI	NADH-ubiquinone oxidoreductase 75 kDa subunit (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)	Dictyostelium discoideum (Slime mold)	688	1.6.99.3; 7.1.1.2	nad11 ndufs1 DDB_G0294052		COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000250};  Note=Binds 1 [2Fe-2S] cluster per subunit. {ECO:0000250}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250};  Note=Binds 2 [4Fe-4S] clusters per subunit. {ECO:0000250};	SUBUNIT: Complex I is composed of about 45 different subunits. {ECO:0000250}.
Q91VD9	NDUS1_MOUSE	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)	Mus musculus (Mouse)	727	1.6.99.3; 7.1.1.2	Ndufs1		COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000250|UniProtKB:Q56223};  Note=Binds 1 [2Fe-2S] cluster per subunit. {ECO:0000250|UniProtKB:Q56223}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250|UniProtKB:Q56223};  Note=Binds 2 [4Fe-4S] clusters per subunit. {ECO:0000250|UniProtKB:Q56223};	SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250}.
Q0MQI0	NDUS7_PANTR	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-20kD) (CI-20kD) (NADH-ubiquinone oxidoreductase 20 kDa subunit)	Pan troglodytes (Chimpanzee)	213	1.6.99.3; 7.1.1.2	NDUFS7		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000305};  Note=Binds 1 [4Fe-4S] cluster. {ECO:0000305};	SUBUNIT: Complex I is composed of 45 different subunits This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250|UniProtKB:O75251}.
Q66XS7	NDUS4_GEKJA	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	Gekko japonicus (Schlegel's Japanese gecko)	175		NDUFS4 GekBS037P			SUBUNIT: Complex I is composed of 45 different subunits. This is a component of the iron-sulfur (IP) fragment of the enzyme (By similarity). {ECO:0000250|UniProtKB:O43181}.
P0CB95	NDUS4_PONAB	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	175		NDUFS4			SUBUNIT: Mammalian complex I is composed of 45 different subunits. This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250|UniProtKB:O43181}.
P0CB87	NDUS5_PONAB	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (Complex I-15 kDa) (CI-15 kDa) (NADH-ubiquinone oxidoreductase 15 kDa subunit)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	106		NDUFS5			SUBUNIT: Mammalian complex I is composed of 45 different subunits. This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250|UniProtKB:O43920}.
P52503	NDUS6_MOUSE	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial (Complex I-13kD-A) (CI-13kD-A) (NADH-ubiquinone oxidoreductase 13 kDa-A subunit)	Mus musculus (Mouse)	116		Ndufs6 Ip13			SUBUNIT: Mammalian complex I is composed of 45 different subunits. This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000269|PubMed:22474353}.
Q0MQH7	NDUS6_PANTR	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial (Complex I-13kD-A) (CI-13kD-A) (NADH-ubiquinone oxidoreductase 13 kDa-A subunit)	Pan troglodytes (Chimpanzee)	124		NDUFS6			SUBUNIT: Mammalian complex I is composed of 45 different subunits. This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250|UniProtKB:O75380}.
Q0MQI6	NDUV1_PANTR	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-51kD) (CI-51kD) (NADH-ubiquinone oxidoreductase 51 kDa subunit)	Pan troglodytes (Chimpanzee)	464	1.6.99.3; 7.1.1.2	NDUFV1		COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000305};  Note=Binds 1 FMN. {ECO:0000305}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000305};  Note=Binds 1 [4Fe-4S] cluster. {ECO:0000305};	SUBUNIT: Complex I is composed of 45 different subunits. This is a component of the flavoprotein-sulfur (FP) fragment of the enzyme (By similarity). {ECO:0000250}.
P25712	NDUV3_BOVIN	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial (Complex I-9kD) (CI-9kD) (NADH-ubiquinone oxidoreductase 9 kDa subunit)	Bos taurus (Bovine)	109		NDUFV3			SUBUNIT: Complex I is composed of 45 different subunits. This is a component of the flavoprotein-sulfur (FP) fragment of the enzyme. {ECO:0000269|PubMed:18721790}.
P28331	NDUS1_HUMAN	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)	Homo sapiens (Human)	727	1.6.99.3; 7.1.1.2	NDUFS1		COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000250};  Note=Binds 1 [2Fe-2S] cluster per subunit. {ECO:0000250}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250};  Note=Binds 2 [4Fe-4S] clusters per subunit. {ECO:0000250};	SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:12611891}.
Q2LCR5	NDUS2_DICCI	NADH-ubiquinone oxidoreductase 49 kDa subunit (EC 1.6.99.3) (EC 7.1.1.2) (NADH dehydrogenase subunit 7)	Dictyostelium citrinum (Slime mold)	406	1.6.99.3; 7.1.1.2	nad7 ndufs2			SUBUNIT: Complex I is composed of 45 different subunits. Component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250|UniProtKB:O75306}.
O75489	NDUS3_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)	Homo sapiens (Human)	264	1.6.99.3; 7.1.1.2	NDUFS3			SUBUNIT: Mammalian complex I is composed of 45 different subunits. Interacts with NDUFAF3. {ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:19463981}.
Q4R3M6	NDUS5_MACFA	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (Complex I-15 kDa) (CI-15 kDa) (NADH-ubiquinone oxidoreductase 15 kDa subunit)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	106		NDUFS5 QtsA-15861			SUBUNIT: Mammalian complex I is composed of 45 different subunits. This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250|UniProtKB:O43920}.
P15690	NDUS1_BOVIN	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)	Bos taurus (Bovine)	727	1.6.99.3; 7.1.1.2	NDUFS1		COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000250|UniProtKB:Q56223};  Note=Binds 1 [2Fe-2S] cluster per subunit. {ECO:0000250|UniProtKB:Q56223}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250|UniProtKB:Q56223};  Note=Binds 2 [4Fe-4S] clusters per subunit. {ECO:0000250|UniProtKB:Q56223};	SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:10852722, ECO:0000269|PubMed:18721790}.
Q0MQG3	NDUS2_PONPY	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)	Pongo pygmaeus (Bornean orangutan)	463	1.6.99.3; 7.1.1.2	NDUFS2		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883;  Note=Binds 1 [4Fe-4S] cluster.;	SUBUNIT: Complex I is composed of 45 different subunits. Component of the iron-sulfur (IP) fragment of the enzyme. Interacts with NDUFAF3. Interacts with NDUFAF7. {ECO:0000250|UniProtKB:O75306}.
P17694	NDUS2_BOVIN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)	Bos taurus (Bovine)	463	1.6.99.3; 7.1.1.2	NDUFS2		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883;  Note=Binds 1 [4Fe-4S] cluster.;	SUBUNIT: Complex I is composed of 45 different subunits (PubMed:10852722, PubMed:18721790). Component of the iron-sulfur (IP) fragment of the enzyme (PubMed:10852722, PubMed:18721790). Interacts with NDUFAF3 (By similarity). Interacts with NDUFAF7 (By similarity). {ECO:0000250|UniProtKB:O75306, ECO:0000269|PubMed:10852722, ECO:0000269|PubMed:18721790}.
P86250	NDUS2_MESAU	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit) (Fragments)	Mesocricetus auratus (Golden hamster)	138	1.6.99.3; 7.1.1.2	NDUFS2		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250|UniProtKB:P17694};  Note=Binds 1 [4Fe-4S] cluster. {ECO:0000250|UniProtKB:P17694};	SUBUNIT: Complex I is composed of 45 different subunits. Component of the iron-sulfur (IP) fragment of the enzyme. Interacts with NDUFAF3. Interacts with NDUFAF7. {ECO:0000250|UniProtKB:O75306}.
Q0MQH6	NDUS6_GORGO	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial (Complex I-13kD-A) (CI-13kD-A) (NADH-ubiquinone oxidoreductase 13 kDa-A subunit)	Gorilla gorilla gorilla (Western lowland gorilla)	124		NDUFS6			SUBUNIT: Mammalian complex I is composed of 45 different subunits. This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250|UniProtKB:O75380}.
Q02379	NDUS5_BOVIN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (Complex I-15 kDa) (CI-15 kDa) (NADH-ubiquinone oxidoreductase 15 kDa subunit)	Bos taurus (Bovine)	106		NDUFS5			SUBUNIT: Mammalian complex I is composed of 45 different subunits. This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000269|PubMed:10852722, ECO:0000269|PubMed:18721790}.
Q4R5X8	NDUS6_MACFA	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial (Complex I-13kD-A) (CI-13kD-A) (NADH-ubiquinone oxidoreductase 13 kDa-A subunit)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	124		NDUFS6 QtsA-19927			SUBUNIT: Mammalian complex I is composed of 45 different subunits. This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250|UniProtKB:O75380}.
P19404	NDUV2_HUMAN	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (NADH-ubiquinone oxidoreductase 24 kDa subunit)	Homo sapiens (Human)	249	1.6.99.3; 7.1.1.2	NDUFV2		COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000305};  Note=Binds 1 [2Fe-2S] cluster. {ECO:0000305};	SUBUNIT: Complex I is composed of 45 different subunits. This is a component of the flavoprotein-sulfur (FP) fragment of the enzyme. {ECO:0000269|PubMed:12611891}.
P0CB68	NDUS1_PONPY	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)	Pongo pygmaeus (Bornean orangutan)	727	1.6.99.3; 7.1.1.2	NDUFS1		COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000250|UniProtKB:Q56223};  Note=Binds 1 [2Fe-2S] cluster per subunit. {ECO:0000250|UniProtKB:Q56223}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250|UniProtKB:Q56223};  Note=Binds 2 [4Fe-4S] clusters per subunit. {ECO:0000250|UniProtKB:Q56223};	SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250}.
Q91YT0	NDUV1_MOUSE	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-51kD) (CI-51kD) (NADH-ubiquinone oxidoreductase 51 kDa subunit)	Mus musculus (Mouse)	464	1.6.99.3; 7.1.1.2	Ndufv1		COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000305};  Note=Binds 1 FMN. {ECO:0000305}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000305};  Note=Binds 1 [4Fe-4S] cluster. {ECO:0000305};	SUBUNIT: Complex I is composed of 45 different subunits. This is a component of the flavoprotein-sulfur (FP) fragment of the enzyme (By similarity). {ECO:0000250}.
Q0MQG5	NDUS2_PANTR	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)	Pan troglodytes (Chimpanzee)	463	1.6.99.3; 7.1.1.2	NDUFS2		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883;  Note=Binds 1 [4Fe-4S] cluster.;	SUBUNIT: Complex I is composed of 45 different subunits. Component of the iron-sulfur (IP) fragment of the enzyme. Interacts with NDUFAF3. Interacts with NDUFAF7. {ECO:0000250|UniProtKB:O75306}.
P86203	NDUS1_MESAU	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-75kD) (CI-75kD) (Fragments)	Mesocricetus auratus (Golden hamster)	190	1.6.99.3; 7.1.1.2	NDUFS1		COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000250|UniProtKB:P29915};  Note=Binds 1 [2Fe-2S] cluster per subunit. {ECO:0000250|UniProtKB:P29915}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250|UniProtKB:P29915};  Note=Binds 2 [4Fe-4S] clusters per subunit. {ECO:0000250|UniProtKB:P29915};	SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:P15690}.
Q0MQI5	NDUV1_GORGO	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-51kD) (CI-51kD) (NADH-ubiquinone oxidoreductase 51 kDa subunit)	Gorilla gorilla gorilla (Western lowland gorilla)	464	1.6.99.3; 7.1.1.2	NDUFV1		COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000305};  Note=Binds 1 FMN. {ECO:0000305}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000305};  Note=Binds 1 [4Fe-4S] cluster. {ECO:0000305};	SUBUNIT: Complex I is composed of 45 different subunits. This is a component of the flavoprotein-sulfur (FP) fragment of the enzyme (By similarity). {ECO:0000250}.
Q0MQH1	NDUS4_PANTR	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	Pan troglodytes (Chimpanzee)	175		NDUFS4			SUBUNIT: Mammalian complex I is composed of 45 different subunits. This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250|UniProtKB:O43181}.
Q0MQG2	NDUS1_PANTR	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)	Pan troglodytes (Chimpanzee)	727	1.6.99.3; 7.1.1.2	NDUFS1		COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000250|UniProtKB:Q56223};  Note=Binds 1 [2Fe-2S] cluster per subunit. {ECO:0000250|UniProtKB:Q56223}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250|UniProtKB:Q56223};  Note=Binds 2 [4Fe-4S] clusters per subunit. {ECO:0000250|UniProtKB:Q56223};	SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250}.
Q0MQI2	NDUS8_GORGO	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit)	Gorilla gorilla gorilla (Western lowland gorilla)	210	1.6.99.3; 7.1.1.2	NDUFS8		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250};  Note=Binds 2 [4Fe-4S] clusters per subunit. {ECO:0000250};	SUBUNIT: Complex I is composed of 45 different subunits This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250}.
Q0MQI3	NDUS8_PANTR	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit)	Pan troglodytes (Chimpanzee)	210	1.6.99.3; 7.1.1.2	NDUFS8		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250};  Note=Binds 2 [4Fe-4S] clusters per subunit. {ECO:0000250};	SUBUNIT: Complex I is composed of 45 different subunits This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250}.
Q4R6K9	NDUS1_MACFA	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	727	1.6.99.3; 7.1.1.2	NDUFS1 QtsA-17780 QtsA-18546		COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000250|UniProtKB:Q56223};  Note=Binds 1 [2Fe-2S] cluster per subunit. {ECO:0000250|UniProtKB:Q56223}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250|UniProtKB:Q56223};  Note=Binds 2 [4Fe-4S] clusters per subunit. {ECO:0000250|UniProtKB:Q56223};	SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250}.
Q0MQG6	NDUS3_PONPY	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)	Pongo pygmaeus (Bornean orangutan)	263	1.6.99.3; 7.1.1.2	NDUFS3			SUBUNIT: Complex I is composed of 45 different subunits. Interacts with NDUFAF3. {ECO:0000250}.
Q8HXQ9	NDUV1_MACFA	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-51kD) (CI-51kD) (NADH-ubiquinone oxidoreductase 51 kDa subunit)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	464	1.6.99.3; 7.1.1.2	NDUFV1 QccE-11505		COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000305};  Note=Binds 1 FMN. {ECO:0000305}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000305};  Note=Binds 1 [4Fe-4S] cluster. {ECO:0000305};	SUBUNIT: Complex I is composed of 45 different subunits. This is a component of the flavoprotein-sulfur (FP) fragment of the enzyme (By similarity). {ECO:0000250}.
O43181	NDUS4_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	Homo sapiens (Human)	175		NDUFS4			SUBUNIT: Mammalian complex I is composed of 45 different subunits. This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:27626371}.
O43920	NDUS5_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (Complex I-15 kDa) (CI-15 kDa) (NADH-ubiquinone oxidoreductase 15 kDa subunit)	Homo sapiens (Human)	106		NDUFS5			SUBUNIT: Mammalian complex I is composed of 45 different subunits. This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:27626371}.
