Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
1026079	GH18(467-807)	N	CBM18+GH18	N	2
1026773	GH16_21(161-331)	N	N	N	1
1027169	GH5_7(58-346)	N	N	N	1
1027689	PL1_6(123-348)	N	PL1	Y(1-19)	2
1027739	CE4(101-230)	N	N	Y(1-21)	1
1027772	GH45(250-449)	GH45+CBM1	N	Y(1-32)	2
1027894	CE8(30-304)	N	N	N	1
1027898	GH11(51-229)+GH11(405-583)	GH11	GH11	Y(1-25)	3
1027907	GH11(46-230)+GH11(313-495)+GH11(564-746)+CE4(793-923)	GH11	GH11	Y(1-22)	3
102803	GT20(89-524)	GT20	GT20	N	3
1028794	GH114(30-223)	GH114	N	N	2
1029415	GT32(74-154)	N	GT32	N	2
1029427	GH1(66-643)	GH1	GH1	Y(1-28)	3
1029430	GH1(66-643)	GH1	GH1	Y(1-28)	3
102974	CE4(28-154)	N	N	Y(1-22)	1
1029897	GH74(69-181)+GH74(556-656)	GH74+CBM1+CBM2	CBM3+GH74	N	3
1030134	GH43_16(38-353)	GH43+CBM22+CBM36+CBM6	CBM13+CBM2+CBM6+GH43_16	Y(1-25)	3
1030154	GH1(64-641)	GH1	GH1	Y(1-29)	3
1030640	GH30_5(142-604)	GH30	CBM37+CBM62+GH30_5	Y(1-24)	3
1030984	CBM26(210-276)+GH31(518-1002)	GH31	GH31	Y(1-65)	3
1030993	GH45(131-325)	N	N	N	1
103103	CE4(14-136)	N	N	N	1
1031455	CBM87(41-255)+CE18(256-619)	CBM14	N	Y(1-21)	2
1031673	GT2_Glycos_transf_2(27-140)	N	N	N	1
1031677	GT101(50-275)	GT101	N	N	2
1032046	PL1_7(143-324)	PL1	N	Y(1-19)	2
1032224	GH10(9-318)	N	GH10	N	2
1032262	CE18(238-596)	N	N	N	1
1032442	GH6(211-476)	GH6+CBM1	CBM1+GH6	Y(1-24)	3
1032459	GH6(171-435)	GH6+CBM1	CBM1+GH6	Y(1-24)	3
1032465	GH6(164-430)	GH6+CBM1	CBM1+GH6	Y(1-24)	3
1032838	GT34(381-576)	N	N	N	1
1032921	GH32(55-331)	GH32+CBM38+CBM66	GH32	Y(1-28)	3
1032943	GH32(55-331)	GH32+CBM38+CBM66	GH32	Y(1-28)	3
1032978	GH48(28-647)	GH48+CBM2+CBM3	GH48	Y(1-19)	3
1032987	GH48(28-647)	GH48+CBM2+CBM3	GH48	Y(1-19)	3
1033842	CBM35(24-137)+GH26(158-459)	GH26+CBM35	CBM35+GH26	N	3
1033919	GH11(56-244)+GH11(365-553)	N	CBM1+GH11	Y(1-29)	2
1033986	CBM63(184-254)	N	N	N	1
1034280	GH9(195-625)	CBM2+CBM3	N	Y(1-20)	2
1035177	GH10(25-332)	GH10+CBM22	N	Y(1-19)	2
1035498	GH3(562-802)	GH3	GH3	Y(1-25)	3
1035502	GH3(562-802)	GH3	GH3	Y(1-25)	3
1035513	GH3(599-797)	GH3	GH3	N	3
1036070	GH3(598-799)	GH3	GH3	N	3
1037044	CE4(162-292)	N	N	N	1
1037367	GT39(57-296)	GT39	GT39	N	3
1037785	GH43_1(8-317)	GH43	GH43_1	N	3
1038028	CE6(88-197)	CE6+CBM60	CE6	Y(1-23)	3
1038131	GH6(153-453)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1038148	GH6(153-454)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1038559	GT8(3-233)	GT8	N	N	2
1039032	GT4(449-627)	N	GT4	N	2
1039230	CBM35(24-137)+GH26(158-459)	GH26+CBM35	CBM35+GH26	N	3
1039236	CBM35(24-137)+GH26(158-459)	GH26+CBM35	CBM35+GH26	N	3
1039355	GH26(112-299)	GH26	GH26	N	3
1039573	GH11(46-228)+GH11(314-496)	GH11	GH11	Y(1-22)	3
1039583	GH11(45-227)	GH11	CBM1+GH11	Y(1-19)	3
1040286	GH10(105-453)	GH10	GH10	Y(1-19)	3
1040292	GH10(104-453)	N	GH10	Y(1-19)	2
1040450	GT2_Chitin_synth_2(1166-1673)	GT2	GT2	N	3
1040850	GH114(37-228)	N	N	N	1
1041221	GH45(266-469)	GH45+CBM1	N	Y(1-22)	2
1041612	CE16(2-214)	N	N	N	1
1041627	GT8(318-568)	N	N	N	1
1041689	GT10(39-309)	N	N	N	1
1041721	GT101(117-342)	GT101	N	N	2
1041756	GT2_Glycos_transf_2(28-155)	N	N	N	1
1042247	CBM29(188-329)	N	N	Y(1-31)	1
1042592	GH48(29-648)	GH48+CBM2+CBM3	GH48	Y(1-19)	3
1042601	PL3_2(117-318)	PL3	N	Y(1-23)	2
1042699	CE4(29-163)	N	N	N	1
1042703	CE4(29-163)	N	N	N	1
1042711	CE4(29-163)	N	N	N	1
1042712	CE4(29-163)	N	N	N	1
1042796	GT71(333-570)	N	N	N	1
1043394	GH11(46-229)+GH11(307-490)+GH11(568-751)	GH11	GH11	Y(1-22)	3
1043723	CE15(52-376)	CE15	CE15	Y(1-21)	3
1043738	GH10(26-328)+CBM13(362-501)	GH10+CBM2	CBM1+GH10	N	3
1043740	GH10(26-328)+CBM13(363-507)	GH10+CBM2	CBM1+GH10	N	3
1043990	GH9(22-444)	GH9+CBM49	GH9	Y(1-19)	3
1044074	GH13_28(46-303)	CBM26	CBM26+GH13_28	Y(1-28)	3
1044083	GH26(173-322)+GH26(508-654)	N	GH26	N	2
1044338	GH6(152-455)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1044348	GH6(152-455)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1045103	GH2(73-973)+CBM13(1343-1482)	CBM51	CBM51+GH2	Y(1-25)	3
1045106	GH2(73-987)+CBM13(1369-1505)	CBM13+CBM2+CBM51	CBM51+GH2	Y(1-25)	3
1045456	GH43_2(24-306)	GH43+CBM6	CBM6+GH43_2	N	3
1045621	GH13_8(234-527)	GH13+CBM48	CBM48+GH13_8	N	3
1046051	CE4(30-169)	N	N	N	1
1047272	GH11(45-220)	GH11	N	Y(1-20)	2
1047688	GH45(234-429)	N	N	N	1
1047952	GH18(447-787)	N	CBM18+GH18	N	2
1048004	CBM13(445-608)	GH39	CBM13+GH39	Y(1-22)	3
1048016	GH9(25-462)	GH9+CBM49	GH9	N	3
1048538	GT17(218-353)	N	N	N	1
1048786	GH43_29(119-404)	GH43+CBM22+CBM42+CBM6	GH43_29	Y(1-20)	3
1048846	GT8(6-237)	GT8	N	N	2
1049051	GH73(97-224)	GH73	N	N	2
1049188	CE8(31-306)	N	N	N	1
1049876	CE4(81-201)	CE4	N	Y(1-42)	2
1049972	GH13_25(1182-1658)	GH133	GH13_25+GH133	N	3
1050086	GH114(31-225)	N	N	N	1
1050193	CE4(495-623)	CE4	N	N	2
1050236	GH114(31-226)	GH114	N	Y(1-22)	2
1050239	GH114(31-226)	N	N	N	1
1050693	GH3(63-271)	GH3+CBM1	GH3	Y(1-31)	3
1051129	GT4(2628-2769)	N	GT4	N	2
1051333	CBM87(42-257)+CE18(268-642)	N	N	N	1
1051461	GH5_5(23-308)	GH5+CBM1	CBM10+GH5_5	Y(1-20)	3
1051916	CE8(30-302)	N	N	N	1
1051950	GH8(55-369)	GH8+CBM36+CBM6	GH8	N	3
1051988	GT3(15-698)	GT3	GT3	N	3
1052907	GH31(383-829)	GH31	GH31	N	3
1052950	GH45(148-349)	GH45+CBM1	N	Y(1-21)	2
1052952	GH45(149-350)	GH45+CBM1	N	Y(1-21)	2
1052961	GT34(321-502)	N	N	N	1
1053378	GH5_1(220-534)	GH5+CBM2+CBM3	CBM3+GH5_1	Y(1-28)	3
1053734	GT71(199-444)	N	N	N	1
1053922	GH3(594-801)	GH3	GH3	Y(1-26)	3
1053929	CE4(122-250)	N	N	Y(1-23)	1
1053968	GH43_4(146-488)	GH43	GH43_4	Y(1-19)	3
1054138	GH6(145-449)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1054196	GH3(63-271)	GH3	GH3	Y(1-27)	3
1054205	GH3(63-271)	GH3	GH3	Y(1-27)	3
1054371	CBM13(118-261)+CE1(311-540)	CE1+CBM9	CBM22+CE1+GH10	Y(1-21)	3
1054465	GH43_35(74-368)	GH43	N	Y(1-21)	2
1054743	CE4(28-154)	CE4	CE4	N	3
1054997	GT2_Chitin_synth_2(258-588)	N	N	N	1
1055123	GH43_16(40-343)+CBM6(367-481)+CBM13(509-654)	GH43+CBM13+CBM22+CBM6	CBM13+CBM6+GH43_16	Y(1-20)	3
1055188	GH3(63-271)	GH3+CBM1	GH3	Y(1-21)	3
1055363	GH124(153-358)	N	N	N	1
1055371	GT39(67-306)	GT39	GT39	N	3
1055489	GT34(245-412)	N	N	N	1
1055610	GT39(89-328)	GT39	GT39	N	3
1055807	GH64(152-515)	N	CBM52+GH64	Y(1-19)	2
1055809	GH64(152-515)	N	CBM52+GH64	Y(1-27)	2
1055870	GT34(267-450)	N	N	N	1
1056227	GH5_4(59-331)	GH5+CBM65	GH5_4	N	3
1056249	GH1(65-642)	GH1	GH1	Y(1-30)	3
1056260	CBM13(447-582)	GH39+CBM13	CBM13+GH39	Y(1-25)	3
1056544	GH45(272-475)	GH45+CBM1	N	N	2
1057485	CE15(154-482)	CE15	CE15	Y(1-19)	3
1057651	GH6(145-421)	GH6+CBM1	GH6	Y(1-19)	3
1058331	GH95(114-842)	GH95+CBM13+CBM32+CBM51	CBM13+GH95	N	3
1058409	GH11(46-226)	GH11	GH11	Y(1-21)	3
1058754	CE8(30-300)	N	N	N	1
1058940	GH43_16(44-347)	GH43+CBM13+CBM22+CBM36+CBM6	CBM13+CBM2+CBM6+GH43_16	Y(1-24)	3
1059004	GT15(56-318)	GT15	N	N	2
1059077	CBM13(122-266)+CE1(314-545)	CE1+CBM9	CBM22+CBM37+CE1+GH11	Y(1-21)	3
1059104	CE1(148-386)	N	N	Y(1-23)	1
1059152	CE2(197-420)	CE2	N	N	2
1059571	PL3_2(37-239)	N	N	Y(1-19)	1
1059574	PL3_2(37-239)	N	N	Y(1-19)	1
1059583	CE8(29-301)	N	N	N	1
1059676	CE15(52-376)	CE15	CE15	Y(1-22)	3
1059887	CE4(38-163)	CE4	N	N	2
1059893	CE4(276-406)	N	N	Y(1-19)	1
1060805	PL3_2(114-315)	PL3	N	Y(1-24)	2
1060845	GT34(252-440)	N	N	N	1
1061532	PL3_2(230-429)	PL3	N	N	2
1061808	GH3(597-796)	GH3	GH3	N	3
1062605	CE16(93-346)	N	N	N	1
1062607	GT34(139-306)	N	N	N	1
1063781	GH6(109-413)	GH6+CBM1+CBM3	GH6	Y(1-21)	3
1063940	GH10(25-328)	GH10	N	N	2
1064068	CE16(128-370)	N	N	N	1
1064080	GT71(83-329)	N	N	N	1
1064267	GH6(152-453)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1064274	GH6(150-451)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1064289	GH6(147-450)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1064328	GH6(139-441)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1064352	GH6(147-449)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1064354	GH6(147-449)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1064557	CE8(31-305)	N	N	Y(1-21)	1
1064587	CE4(26-150)	CE4+CBM18	N	Y(1-25)	2
1064715	GH3(579-790)	GH3	GH3	N	3
1064719	GH3(579-790)	GH3	GH3	N	3
1065258	CE4(30-169)	N	N	Y(1-25)	1
1065647	GT8(318-568)	N	N	N	1
106767	CE2(133-358)	CE2	N	N	2
1071357	GT22(85-468)	N	N	N	1
1072397	GH37(72-491)	GH37	GH37	N	3
1073654	GH11(46-226)	GH11	GH11	Y(1-21)	3
1078168	CE16(8-181)	N	N	N	1
1078636	GT71(283-519)	N	N	N	1
1079711	GH16_3(232-496)+GH16_3(533-797)+GH16_3(836-1100)	CBM4+CBM54+CBM6	N	Y(1-21)	2
1081700	GT2_Glycos_transf_2(45-215)	GT2	N	N	2
1082088	GT8(7-237)	GT8	N	N	2
1082256	GH114(31-226)	N	N	Y(1-22)	1
1082613	GT2_Glycos_transf_2(5-175)	GT2	N	N	2
1082860	GH10(39-350)	N	GH10	N	2
1083964	GH5_4(59-331)	GH5+CBM72+CBM79	GH5_4	N	3
1083986	GH6(149-449)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1084515	GT20(88-524)	GT20	GT20	N	3
1084953	CE8(31-305)	N	CBM1+CE8	N	2
1085199	GH11(48-228)	GH11	GH11	Y(1-23)	3
1085200	GH11(48-228)	GH11	GH11	Y(1-22)	3
1086223	GH11(73-260)	N	CBM1+GH11	Y(1-46)	2
121049	GT2_Chitin_synth_2(1116-1625)	GT2	GT2	N	3
1268458	CE1(41-267)+CE1(360-586)+CE1(749-979)	N	CE1	N	2
1269040	GH10(4-259)	GH10	CBM1+GH10	N	3
1269041	GH10(1-232)	GH10	N	N	2
1270280	GH43_1(8-317)	GH43	GH43_1	N	3
1271028	GH74(69-206)+GH74(556-654)	GH74+CBM1+CBM2	CBM2+GH74	N	3
1271135	GT2_Glycos_transf_2(49-192)	N	N	Y(1-30)	1
1271205	GT22(106-507)	GT22	N	N	2
1271587	CE16(8-174)	N	N	N	1
1271596	CE16(8-174)	N	N	N	1
1272269	GH11(45-228)	GH11+CBM1	CBM1+GH11	Y(1-27)	3
1272329	CE4(26-151)	CE4+CBM18	N	Y(1-25)	2
1272592	GH1(4-245)	N	GH1	N	2
1274167	CBM21(682-798)	N	N	N	1
1274558	PL4(17-544)	N	PL4	Y(1-20)	2
1276527	GT71(83-317)	N	N	N	1
1276553	GT3(14-709)	GT3	GT3	N	3
1277176	GH9(25-458)	GH9+CBM49	GH9	Y(1-22)	3
1277337	GT35(66-782)	GT35	GT35	N	3
1278435	GH18(97-456)	GH18+CBM12+CBM5	N	Y(1-25)	2
1278464	GH5_4(28-302)+GH5_4(418-692)	GH5	GH5_4	N	3
1279472	GH10(9-320)	N	GH10	N	2
1279617	GH114(116-307)	GH114	N	Y(1-35)	2
1281121	GH9(25-458)	GH9+CBM49	GH9	Y(1-22)	3
1281989	GT71(171-413)	N	N	N	1
1283074	GT33(46-405)	GT33	N	N	2
1283757	CE16(7-229)	N	N	N	1
1285302	GH43_16(43-344)	GH43+CBM13+CBM22+CBM36+CBM6	CBM13+CBM2+CBM6+GH43_16	Y(1-23)	3
1285502	GH20(45-365)	GH20	GH20	N	3
1285551	PL1_7(167-348)	PL1	N	Y(1-19)	2
1285555	PL1_7(172-353)	PL1	N	Y(1-20)	2
1285636	GH6(108-412)	GH6+CBM1+CBM3	GH6	Y(1-21)	3
1285707	GH48(29-648)	GH48+CBM2+CBM3	GH48	Y(1-19)	3
1285714	GT17(237-373)	N	N	N	1
1285775	GH6(149-449)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1285776	GH6(149-449)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1286052	GH3(63-271)	GH3	GH3	Y(1-29)	3
1286053	GH3(63-271)	GH3	GH3	Y(1-29)	3
1286220	CBM21(389-501)	N	N	N	1
1286465	GH5_5(22-306)+GH5_5(447-731)	GH5	CBM10+GH5_5	N	3
1286824	PL1(196-423)+CBM13(552-667)	PL1	PL1	Y(1-25)	3
1287387	CE4(98-227)	N	N	Y(1-21)	1
1287456	GT3(15-698)	GT3	GT3	N	3
1287541	GH5_7(60-381)	N	N	Y(1-25)	1
1287907	GH5_1(211-525)	GH5+CBM2+CBM3	CBM3+GH5_1	Y(1-26)	3
1288592	CBM87(45-256)+CE18(257-615)	N	N	Y(1-21)	1
1288914	GH6(193-458)	GH6+CBM1	CBM1+GH6	Y(1-24)	3
1289062	GH32(55-331)	GH32+CBM38+CBM66	GH32	Y(1-28)	3
1289073	GH48(28-647)	GH48+CBM2+CBM3	GH48	Y(1-19)	3
1289151	GH6(216-481)	GH6+CBM1	CBM1+GH6	Y(1-21)	3
1289249	GH11(45-228)	GH11	CBM1+GH11	Y(1-27)	3
1289250	GH11(45-228)	GH11	CBM1+GH11	Y(1-27)	3
1289293	GH10(172-504)	GH10+CBM9	GH10	Y(1-21)	3
1289373	CE1(154-383)	CE1+CBM9	CBM22+CBM37+CE1+GH11	Y(1-21)	3
1289410	CE16(46-302)	N	N	Y(1-24)	1
1289440	GH10(24-327)+CBM13(373-517)	GH10+CBM2	CBM1+GH10	N	3
1289443	GH5_7(56-353)	N	CBM1+GH5_7	N	2
1289923	GH3(562-802)	GH3	GH3	N	3
1290109	GH3(601-799)	GH3	GH3	N	3
1291186	PL1_6(130-344)	N	PL1	N	2
1291276	PL4(18-575)	N	PL4	Y(1-20)	2
1291280	GH11(45-228)	GH11	CBM1+GH11	Y(1-27)	3
1291505	GH10(113-461)	N	GH10	Y(1-23)	2
1291508	GH10(104-453)	N	GH10	Y(1-24)	2
1291510	GH10(104-453)	N	GH10	Y(1-19)	2
1291786	GH11(45-227)	N	GH11	Y(1-20)	2
1291939	GT92(68-303)	N	N	N	1
1291947	GT101(125-343)	GT101	N	N	2
1292258	CE4(29-163)	N	N	N	1
1292264	GT39(73-312)	GT39	GT39	N	3
1292446	CBM87(32-253)+CE18(254-616)	N	N	N	1
1293336	GH11(49-232)+GH11(270-453)+GH11(499-682)+CE4(747-876)	GH11	GH11	Y(1-23)	3
1293346	GH5_4(59-331)	GH5	GH5_4	Y(1-23)	3
1293664	CE1(205-426)	N	N	N	1
1293984	CBM13(442-588)	GH39	CBM13+GH39	Y(1-23)	3
1294043	GT71(158-396)	N	N	N	1
1294060	GH43_2(24-306)	GH43+CBM6	CBM6+GH43_2	N	3
1294171	GH45(96-295)	GH45+CBM1	N	Y(1-19)	2
1294191	CE1(234-359)	N	N	Y(1-22)	1
1294231	GH11(109-197)	N	N	Y(1-20)	1
1294326	GT101(142-360)	GT101	N	N	2
1294648	CE4(109-238)	N	N	Y(1-21)	1
1294796	GH43_16(43-345)	GH43+CBM13+CBM22+CBM36+CBM6	CBM13+CBM6+GH43_16	Y(1-23)	3
1294852	GH3(63-271)	GH3+CBM1	GH3	Y(1-31)	3
1294853	GH3(63-271)	GH3+CBM1	GH3	Y(1-31)	3
1295023	GH3(64-253)	GH3+CBM1	GH3	Y(1-31)	3
1295025	GH6(148-276)+GH6(276-414)	GH6+CBM3	GH6	Y(1-20)	3
1295164	CE4(26-150)	N	N	Y(1-21)	1
1295169	CE1(308-433)	N	N	Y(1-21)	1
1295187	GH10(25-323)	GH10	CBM1+GH10	N	3
1295221	CE8(30-299)	N	N	N	1
1295525	CE18(237-597)	N	N	Y(1-23)	1
1295744	GH5_7(41-345)	N	N	N	1
1295810	GH6(149-449)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1295967	CE1(205-426)	N	N	N	1
1295977	GH3(63-271)	GH3	GH3	Y(1-27)	3
1296062	CE18(195-554)	N	N	N	1
1296071	GH10(103-451)	N	GH10	Y(1-19)	2
1296375	GH5_7(2-163)	N	N	N	1
1296433	GH5_4(55-330)	N	N	N	1
1296497	GH6(141-435)	GH6+CBM2+CBM3	GH6	Y(1-20)	3
1296588	GH5_4(53-337)	GH5+CBM46+CBM72	GH5_4	Y(1-19)	3
1296626	GH1(65-642)	GH1	GH1	Y(1-30)	3
1296684	GH3(63-271)	GH3	GH3	Y(1-29)	3
1296956	CE4(60-189)	N	N	Y(1-23)	1
1297604	CE4(27-154)	CE4	N	N	2
1297688	PL3_2(37-239)	N	N	Y(1-19)	1
1297735	GH3(589-792)	GH3	GH3	Y(1-27)	3
1297985	CE16(46-300)	N	N	Y(1-21)	1
1298002	GH115(79-882)	GH115	GH115	N	3
1298495	GH10(155-500)	GH10	GH10	Y(1-22)	3
1298624	GT92(69-356)	N	N	N	1
1298658	PL3_2(37-239)	N	N	Y(1-19)	1
1298671	PL3_2(37-239)	N	N	Y(1-19)	1
1299053	PL11_2(1-601)	PL11+CBM35	PL11_2	N	3
1299127	CE12(111-321)	CE12	N	Y(1-20)	2
1299175	GH6(147-449)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1299478	CE1(182-403)	N	N	N	1
1300325	GH11(46-228)+GH10(345-542)	GH10+GH11	CE1+GH11	Y(1-21)	3
1300846	PL1_7(162-343)	PL1	N	Y(1-19)	2
1300847	PL1_7(162-343)	PL1	N	Y(1-19)	2
1300851	PL1_7(160-341)	PL1	N	Y(1-19)	2
1300963	GH6(328-632)	GH6+CBM1+CBM3	GH6	Y(1-21)	3
1301222	GH3(550-766)	GH3	GH3	N	3
1301273	CE4(26-152)	CE4+CBM18	N	N	2
1301479	GH3(63-270)	GH3	GH3	Y(1-21)	3
1301483	GH3(63-271)	GH3	GH3	Y(1-29)	3
1301655	GH45(197-398)	GH45	N	N	2
1301996	GH11(48-231)	GH11	N	Y(1-20)	2
1302008	GH11(48-231)	GH11	N	Y(1-20)	2
1302257	CBM32(29-157)	N	N	Y(1-24)	1
1302500	GH3(568-766)	GH3	GH3	N	3
1302520	GH5_1(232-546)	GH5+CBM2+CBM3	CBM3+GH5_1	Y(1-26)	3
1303186	CE3(50-264)	CE3	CE3	Y(1-20)	3
1303432	PL3_2(188-389)	PL3	N	Y(1-19)	2
1303879	GH5_1(216-530)	GH5+CBM2+CBM3	CBM3+GH5_1	Y(1-28)	3
1303929	GH1(66-643)	GH1	GH1	Y(1-28)	3
1303995	CE1(195-367)	N	N	N	1
1304698	GT39(89-328)	GT39	GT39	N	3
1304742	GH48(29-648)	GH48+CBM2+CBM3	GH48	Y(1-19)	3
1304867	GT8(382-625)	N	N	N	1
1305161	GH11(46-226)	GH11	GH11	Y(1-21)	3
1305162	GH11(46-226)	GH11	GH11	Y(1-21)	3
1305163	GH11(46-226)	GH11	GH11	Y(1-21)	3
1305164	GH11(46-226)	GH11	GH11	Y(1-21)	3
1305165	GH11(46-226)	GH11	GH11	Y(1-21)	3
1305204	GH6(184-449)	GH6+CBM1	CBM1+GH6	Y(1-24)	3
1305345	GH48(28-647)	GH48+CBM2+CBM3	GH48	Y(1-19)	3
1305401	GH32(55-351)	GH32+CBM38+CBM66	GH32	Y(1-28)	3
1305531	GH43_16(43-344)+CBM13(519-684)	GH43+CBM13+CBM22+CBM36+CBM6	CBM13+CBM6+GH43_16	Y(1-26)	3
1305577	CE4(30-157)	N	N	N	1
1305646	GH11(33-216)	GH11	CBM1+GH11	N	3
1305647	GH11(45-228)	GH11	CBM1+GH11	Y(1-27)	3
1305689	GH10(39-350)	N	GH10	N	2
