proteinId	description	modelnotes	defline
63061	CBM12		Carbohydrate-Binding Module Family 12 protein
65711	DOC2-DOC2-DOC2-GH5_1		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
69157	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
69199	DOC2		Non-Catalytic Module Family DOC2
69334	DOC2-DOC2		Non-Catalytic Module Family DOC2
71360	CBM48		Carbohydrate-Binding Module Family 48 protein
74770	CBM1		Carbohydrate-Binding Module Family 1 protein
82829	DOC2		Non-Catalytic Module Family DOC2
85209	CE6-DOC2-DOC2		Carbohydrate Esterase Family 6  / Non-Catalytic Module Family DOC2
86893	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
87122	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
87201	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
97632	GH45		Glycoside Hydrolase Family 45 protein
102803	GT20		Glycosyltransferase Family 20 protein
102974	CE4		Carbohydrate Esterase Family 4 protein
103103	CE4		Carbohydrate Esterase Family 4 protein
106767	CE2		Carbohydrate Esterase Family 2 protein
121049	Myosin_motor-GT2		Glycosyltransferase Family 2 protein
133895	CE4		Carbohydrate Esterase Family 4 protein
134374	DOC2-DOC2-EXPN		Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
135082	DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
138987	GH5_7		Glycoside Hydrolase Family 5 protein
140307	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
151375	CBM1		Carbohydrate-Binding Module Family 1 protein
152561	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
152648	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
164674	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
165454	GT4		Glycosyltransferase Family 4 protein
174042	PL3_2		Polysaccharide Lyase Family 3 protein
174043	PL3_2		Polysaccharide Lyase Family 3 protein
174110	PL3_2		Polysaccharide Lyase Family 3 protein
174151	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
174400	GH26-DOC2-DOC2		Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
176754	GH5_4-DOC2		Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
189152	DOC2-DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
189205	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
210495	DOC2-DOC2-GH45		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
216701	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
216737	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
225291	CE2-CE2		Carbohydrate Esterase Family 2 protein
236157	CBM1-GH6		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
245186	CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
256557	GT2		Glycosyltransferase Family 2 protein
256568	GT2		Glycosyltransferase Family 2 protein
256597	CBM1-GH6		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
259404	GH10-CBM1		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
260294	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
263450	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
263542	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
263550	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
263805	GH124-DOC2-DOC2		Glycoside Hydrolase Family 124  / Non-Catalytic Module Family DOC2
271820	DOC2-DOC2	(fragment)  splicing problem;	Non-Catalytic Module Family DOC2
280328	GH10-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
292348	DOC2-DOC2-EXPN		Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
292759	GT4	fragment C-term;	Glycosyltransferase Family 4 protein
299884	DOC2		Non-Catalytic Module Family DOC2
305821	CBM18		Carbohydrate-Binding Module Family 18 protein
307245	GT34	fragment N-term;	Glycosyltransferase Family 34 protein
320628	GT22		Glycosyltransferase Family 22 protein
321685	DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
323012	GT1		Glycosyltransferase Family 1 protein
323681	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
323760	GH5_4		Glycoside Hydrolase Family 5 protein
327489	GH11-DOC2-DOC2		Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2
339299	GH39-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
348298	DOC2-DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
353492	CBM18		Carbohydrate-Binding Module Family 18 protein
359996	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
373357	GH13_14		Glycoside Hydrolase Family 13 protein
376032	PL1		Polysaccharide Lyase Family 1 protein
383968	DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
386075	CE6-DOC2-DOC2		Carbohydrate Esterase Family 6  / Non-Catalytic Module Family DOC2
414638	GH11		Glycoside Hydrolase Family 11 protein
422021	CBM18		Carbohydrate-Binding Module Family 18 protein
426419	GT2		Glycosyltransferase Family 2 protein
429267	PL1		Polysaccharide Lyase Family 1 protein
439801	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
439815	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
439841	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
441263	CE4		Carbohydrate Esterase Family 4 protein
442893	CBM18-GH18	(fragment)  splicing problem;	Carbohydrate-Binding Module Family 18  / Glycoside Hydrolase Family 18 protein
444460	GH10-CBM1		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
461992	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
469001	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
472957	GT20	fragment N-term;	Glycosyltransferase Family 20 protein
479765	CBM87-CE18		Carbohydrate-Binding Module Family 87  / Carbohydrate Esterase Family 18 protein
480024	CBM87-CE18-CBM1-CBM1		Carbohydrate-Binding Module Family 87  / Carbohydrate Esterase Family 18  / Carbohydrate-Binding Module Family 1 protein
489686	GH5_4-DOC2-DOC2	fragment N-term;	Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
489940	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
495720	GH11		Glycoside Hydrolase Family 11 protein
498183	DOC2-DOC2-CE15		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 15 protein
499441	GH11-GH11-GH11-GH11-GH11-GH11-CE4		Glycoside Hydrolase Family 11  / Carbohydrate Esterase Family 4 protein
505434	CBM1		Carbohydrate-Binding Module Family 1 protein
507843	GH5_4		Glycoside Hydrolase Family 5 protein
511835	PL1		Polysaccharide Lyase Family 1 protein
529450	CBM18		Carbohydrate-Binding Module Family 18 protein
536396	CBM1-CBM1		Carbohydrate-Binding Module Family 1 protein
538855	GT2		Glycosyltransferase Family 2 protein
553457	DOC2		Non-Catalytic Module Family DOC2
578655	GH5_4-DOC2-DOC2		Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
578717	GH5_4-DOC2-DOC2		Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
578733	GH5_4-DOC2-DOC2		Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
581435	DOC2-DOC2-GH45		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
590947	CBM1		Carbohydrate-Binding Module Family 1 protein
591836	CBM1		Carbohydrate-Binding Module Family 1 protein
594083	GH3		Glycoside Hydrolase Family 3 protein
599620	GH53-DOC2-DOC2		Glycoside Hydrolase Family 53  / Non-Catalytic Module Family DOC2
601915	DOC2-DOC2-DOC2-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
602025	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
604437	CE6		Carbohydrate Esterase Family 6 protein
604512	CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
606965	DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
609534	CE8-CBM1		Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
615437	CBM18		Carbohydrate-Binding Module Family 18 protein
622267	CE1		Carbohydrate Esterase Family 1 protein
624873	GH53-DOC2-DOC2		Glycoside Hydrolase Family 53  / Non-Catalytic Module Family DOC2
630636	CBM1		Carbohydrate-Binding Module Family 1 protein
635744	GT8		Glycosyltransferase Family 8 protein
642611	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
642615	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
642626	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
884128	GH114		Glycoside Hydrolase Family 114 protein
921403	CE6-CBM1		Carbohydrate Esterase Family 6  / Carbohydrate-Binding Module Family 1 protein
921553	GT2		Glycosyltransferase Family 2 protein
921754	Myosin_motor-GT2		Glycosyltransferase Family 2 protein
922520	CBM87-CE18		Carbohydrate-Binding Module Family 87  / Carbohydrate Esterase Family 18 protein
922723	GT2		Glycosyltransferase Family 2 protein
923774	CBM18		Carbohydrate-Binding Module Family 18 protein
923970	CE1		Carbohydrate Esterase Family 1 protein
924125	DOC2-DOC2		Non-Catalytic Module Family DOC2
924211	GT22		Glycosyltransferase Family 22 protein
925141	CE6		Carbohydrate Esterase Family 6 protein
925839	DOC2		Non-Catalytic Module Family DOC2
926398	GT41	(fragment)  splicing problem;	Glycosyltransferase Family 41 protein
926790	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
926959	GH124-DOC2-DOC2		Glycoside Hydrolase Family 124  / Non-Catalytic Module Family DOC2
927101	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
927288	CBM18		Carbohydrate-Binding Module Family 18 protein
927918	GT2		Glycosyltransferase Family 2 protein
928215	EXPN		Distantly related to plant expansins
929293	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
929507	GH36		Glycoside Hydrolase Family 36 protein
930089	GT2	fragment C-term;	Glycosyltransferase Family 2 protein
931262	GH32		Glycoside Hydrolase Family 32 protein
931352	GH32-GH32	fragment N-term;	Glycoside Hydrolase Family 32 protein
931534	GT2		Glycosyltransferase Family 2 protein
932078	GT2		Glycosyltransferase Family 2 protein
932305	DOC2-DOC2-CBM10-GH45		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 10  / Glycoside Hydrolase Family 45 protein
932592	GH16_10		Glycoside Hydrolase Family 16 protein
932969	DOC2-DOC2	fragment N-term;	Non-Catalytic Module Family DOC2
933132	CBM1-PL3_2		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
933440	GH10-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
933954	CBM35		Carbohydrate-Binding Module Family 35 protein
934182	DOC2-DOC2-DOC2-EXPN		Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
934298	GH13_14		Glycoside Hydrolase Family 13 protein
934641	GH16_10		Glycoside Hydrolase Family 16 protein
936186	CBM18	fragment N-term;	Carbohydrate-Binding Module Family 18 protein
936206	DOC2-DOC2		Non-Catalytic Module Family DOC2
937751	GT22		Glycosyltransferase Family 22 protein
938498	CE12		Carbohydrate Esterase Family 12 protein
938569	DOC2		Non-Catalytic Module Family DOC2
938864	CBM48		Carbohydrate-Binding Module Family 48 protein
938912	CBM48-GH13_8		Carbohydrate-Binding Module Family 48  / Glycoside Hydrolase Family 13 protein
939143	GT17		Glycosyltransferase Family 17 protein
940442	DOC2		Non-Catalytic Module Family DOC2
940715	DOC2-DOC2	fragment N-term / C-term;	Non-Catalytic Module Family DOC2
940786	DOC2-DOC2-DOC2-CBM1	fragment C-term;	Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
940921	EXPN-CBM63-DOC2		Distantly related to plant expansins / Carbohydrate-Binding Module Family 63  / Non-Catalytic Module Family DOC2
941009	GT101		Glycosyltransferase Family 101 protein
941065	GT2	(fragment)  splicing problem;	Glycosyltransferase Family 2 protein
941845	GH18		Glycoside Hydrolase Family 18 protein
942093	CBM29	fragment N-term;	Carbohydrate-Binding Module Family 29 protein
942360	DOC2		Non-Catalytic Module Family DOC2
942486	DOC2		Non-Catalytic Module Family DOC2
943120	Myosin_motor-GT2		Glycosyltransferase Family 2 protein
943795	CE1		Carbohydrate Esterase Family 1 protein
944018	DOC2-DOC2-GH115	fragment C-term;	Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 115 protein
944148	DOC2-GH26-GH26		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 26 protein
944390	GT8		Glycosyltransferase Family 8 protein
944394	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
945610	GT2		Glycosyltransferase Family 2 protein
946014	CBM48-GH13_8		Carbohydrate-Binding Module Family 48  / Glycoside Hydrolase Family 13 protein
946271	CE4		Carbohydrate Esterase Family 4 protein
946345	DOC2-DOC2		Non-Catalytic Module Family DOC2
947185	CBM48		Carbohydrate-Binding Module Family 48 protein
947322	CBM18		Carbohydrate-Binding Module Family 18 protein
947613	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
948184	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
948253	DOC2		Non-Catalytic Module Family DOC2
948577	CBM18	(fragment)  splicing problem;	Carbohydrate-Binding Module Family 18 protein
948589	GH39-CBM13	fragment N-term;	Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13 protein
949749	CBM21		Carbohydrate-Binding Module Family 21 protein
950403	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
951413	CBM1		Carbohydrate-Binding Module Family 1 protein
951507	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
952463	GH9-DOC2-DOC2		Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
952725	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
955650	CBM12		Carbohydrate-Binding Module Family 12 protein
956103	DOC2-DOC2		Non-Catalytic Module Family DOC2
956602	GH11		Glycoside Hydrolase Family 11 protein
956901	CBM18		Carbohydrate-Binding Module Family 18 protein
957104	GH114-CBM18		Glycoside Hydrolase Family 114  / Carbohydrate-Binding Module Family 18 protein
957743	DOC2-DOC2		Non-Catalytic Module Family DOC2
958035	GH11-GH11		Glycoside Hydrolase Family 11 protein
958933	DOC2-DOC2		Non-Catalytic Module Family DOC2
959217	GH114		Glycoside Hydrolase Family 114 protein
959273	DOC2-DOC2		Non-Catalytic Module Family DOC2
960487	EXPN		Distantly related to plant expansins
961377	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
961488	CE4		Carbohydrate Esterase Family 4 protein
961623	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
961754	CE4		Carbohydrate Esterase Family 4 protein
961828	DOC2		Non-Catalytic Module Family DOC2
961834	PL3_2		Polysaccharide Lyase Family 3 protein
962908	DOC2-DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
962955	CBM1		Carbohydrate-Binding Module Family 1 protein
963696	CBM18		Carbohydrate-Binding Module Family 18 protein
966148	CBM1-PL3		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
966605	GH3-DOC2-GH6-DOC2-DOC2		Glycoside Hydrolase Family 3  / Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
966802	DOC2-CBM18		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 18 protein
966859	DOC2-DOC2		Non-Catalytic Module Family DOC2
967916	CBM18		Carbohydrate-Binding Module Family 18 protein
968128	CBM18		Carbohydrate-Binding Module Family 18 protein
969059	DOC2		Non-Catalytic Module Family DOC2
969479	CBM18		Carbohydrate-Binding Module Family 18 protein
970100	GH31	fragment N-term;	Glycoside Hydrolase Family 31 protein
972400	GH5_7		Glycoside Hydrolase Family 5 protein
972543	CBM1-GH6		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
972821	GT4		Glycosyltransferase Family 4 protein
972881	DOC2-DOC2		Non-Catalytic Module Family DOC2
973500	GH5_5-CBM10-DOC2-DOC2		Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 10  / Non-Catalytic Module Family DOC2
973503	DOC2-DOC2		Non-Catalytic Module Family DOC2
974317	DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
974519	CE6-DOC2-DOC2		Carbohydrate Esterase Family 6  / Non-Catalytic Module Family DOC2
974574	GT2		Glycosyltransferase Family 2 protein
974833	CE1		Carbohydrate Esterase Family 1 protein
975286	DOC2		Non-Catalytic Module Family DOC2
975813	GT2		Glycosyltransferase Family 2 protein
976154	GH11		Glycoside Hydrolase Family 11 protein
976179	GH10-CBM1		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
977185	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
977600	CE4-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate Esterase Family 4  / Carbohydrate-Binding Module Family 18 protein
977870	GH9-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
978289	Myosin_motor-GT2		Glycosyltransferase Family 2 protein
978418	CBM18		Carbohydrate-Binding Module Family 18 protein
978535	GH5_7		Glycoside Hydrolase Family 5 protein
978830	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
978973	GT34		Glycosyltransferase Family 34 protein
979306	CE8-CBM1		Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
979556	GH18		Glycoside Hydrolase Family 18 protein
979581	GH47		Glycoside Hydrolase Family 47 protein
979626	GH5_7		Glycoside Hydrolase Family 5 protein
979756	CE4		Carbohydrate Esterase Family 4 protein
980329	GT10		Glycosyltransferase Family 10 protein
980524	CBM10-CBM10		Carbohydrate-Binding Module Family 10 protein
980608	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
980871	CE2		Carbohydrate Esterase Family 2 protein
980876	GH1		Glycoside Hydrolase Family 1 protein
981428	Myosin_motor-GT2		Glycosyltransferase Family 2 protein
981495	GT2		Glycosyltransferase Family 2 protein
982250	GH43_10-CBM22-DOC2-DOC2		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 22  / Non-Catalytic Module Family DOC2
982594	GT1		Glycosyltransferase Family 1 protein
982697	DOC2-DOC2		Non-Catalytic Module Family DOC2
983037	GH47		Glycoside Hydrolase Family 47 protein
983506	GH5_4-DOC2-DOC2		Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
984303	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
984447	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
984504	DOC2-DOC2		Non-Catalytic Module Family DOC2
984764	CBM1-GH6		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
985415	CBM35-GH26-DOC2-DOC2		Carbohydrate-Binding Module Family 35  / Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
985524	CBM52-GH64		Carbohydrate-Binding Module Family 52  / Glycoside Hydrolase Family 64 protein
986162	CE15-DOC2-DOC2		Carbohydrate Esterase Family 15  / Non-Catalytic Module Family DOC2
986208	GT71		Glycosyltransferase Family 71 protein
986360	GT39		Glycosyltransferase Family 39 protein
986760	DOC2-DOC2-CBM1-GH45		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 45 protein
987146	GH3		Glycoside Hydrolase Family 3 protein
987191	EXPN-CBM63		Distantly related to plant expansins / Carbohydrate-Binding Module Family 63 protein
987317	GH10-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
987534	GH1		Glycoside Hydrolase Family 1 protein
987717	GH3		Glycoside Hydrolase Family 3 protein
987829	GH5_7		Glycoside Hydrolase Family 5 protein
988851	CE4		Carbohydrate Esterase Family 4 protein
989296	GH43_16-CBM6-CBM1		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6  / Carbohydrate-Binding Module Family 1 protein
989662	GT35		Glycosyltransferase Family 35 protein
989839	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
989875	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
990092	GH13_28		Glycoside Hydrolase Family 13 protein
990241	CBM21		Carbohydrate-Binding Module Family 21 protein
990253	CE4		Carbohydrate Esterase Family 4 protein
990773	DOC2-DOC2-CBM1-GH45		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 45 protein
991188	DOC2-DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
991298	CE6-DOC2-DOC2		Carbohydrate Esterase Family 6  / Non-Catalytic Module Family DOC2
991449	CBM10-CBM10		Carbohydrate-Binding Module Family 10 protein
992801	CE1		Carbohydrate Esterase Family 1 protein
993033	GH11-GH10-DOC2-DOC2		Glycoside Hydrolase Family 11  / Glycoside Hydrolase Family 10  / Non-Catalytic Module Family DOC2
993394	GT34		Glycosyltransferase Family 34 protein
993584	GT2		Glycosyltransferase Family 2 protein
993598	GT2		Glycosyltransferase Family 2 protein
993640	CBM26-GH31		Carbohydrate-Binding Module Family 26  / Glycoside Hydrolase Family 31 protein
993845	GH11-GH10-DOC2		Glycoside Hydrolase Family 11  / Glycoside Hydrolase Family 10  / Non-Catalytic Module Family DOC2
994270	EXPN-CBM63		Distantly related to plant expansins / Carbohydrate-Binding Module Family 63 protein
994291	CE4		Carbohydrate Esterase Family 4 protein
995372	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
995969	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
996094	DOC2-DOC2-DOC2-GH45		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
996244	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
996664	DOC2-DOC2-DOC2-EXPN		Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
997245	CBM29-CBM1		Carbohydrate-Binding Module Family 29  / Carbohydrate-Binding Module Family 1 protein
997604	CBM48		Carbohydrate-Binding Module Family 48 protein
997829	GH1		Glycoside Hydrolase Family 1 protein
997896	DOC2-DOC2-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
997911	DOC2-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
998731	GH9-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
998827	GH114		Glycoside Hydrolase Family 114 protein
999008	EXPN-CBM63-DOC2-DOC2		Distantly related to plant expansins / Carbohydrate-Binding Module Family 63  / Non-Catalytic Module Family DOC2
999670	GT4		Glycosyltransferase Family 4 protein
1000032	CBM13-PL1-CBM13-CBM13		Carbohydrate-Binding Module Family 13  / Polysaccharide Lyase Family 1 protein
1000200	EXPN		Distantly related to plant expansins
1000278	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1000478	GH10-CBM1		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
1000637	CBM10-GH45		Carbohydrate-Binding Module Family 10  / Glycoside Hydrolase Family 45 protein
1001424	CE8		Carbohydrate Esterase Family 8 protein
1001578	GH47		Glycoside Hydrolase Family 47 protein
1002137	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1002192	GH114		Glycoside Hydrolase Family 114 protein
1002352	GH114-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 114  / Non-Catalytic Module Family DOC2
1002393	DOC2-DOC2-DOC2-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
