BiGG ID	Lower bound	Upper bound	Delta G [kcal/mol]
QULNS	0	1000	-51.41
UPP3S	0	1000	
CELLBabc	0	1000	
NMNHYD	0	1000	
ALAt2r	0	1000	
3HAD40	0	1000	
EX_fum_e	0	0	
HMGCOAS	0	1000	-4.62
RNDR3	0	1000	
TRDR	0	1000	
METOX1s	0	1000	
HMR_0641	0	1000	
IPPS	0	1000	-5.96
BTNt2i	0	1000	
EX_ade_e	0	0	
GNNUC	0	1000	-0.45
EX_glc__D_e	-1.5	-1.5	
DDPA	0	1000	-17.48
PDE1	0	1000	-10.15
ALAt4	0	1000	
HPYRRy	0	1000	-7.46
EX_h2s_e	0	0	
EX_fru_e	0	0	
EX_ppi_e	0	1000	
EAR100x	0	1000	
MOHMT	0	1000	-2.48
23CN2P1	0	1000	-7.68
NH4t	0	1000	
SERabc	0	1000	-6.16
THRS	0	1000	-6.81
23CN2P4	0	1000	-7.69
APATT	0	1000	
ADD	0	1000	-5.3
CERDA18_c	-1000	0	
MTHFR3	0	1000	-8.93
RAFFabc	0	1000	
ACODA	0	1000	-3.94
HPYRRx	0	1000	-7.45
ADNUC	0	1000	-1.15
GTPCII2	0	1000	-16.79
IAGT	0	1000	
EX_cytd_e	0	0	
ADPRDP	0	1000	-5.49
EAR40x	0	1000	
PYDAMK	0	1000	-2.95
EX_asn__L_e	0	0	
ACGS	0	1000	-5.12
ASP1DC	0	1000	-4.89
EX_btn_e	0	0	
BTPS	0	1000	
FCLT	0	1000	
CYTDK1	0	1000	-2.82
PGSA160	0	1000	
TMDK1	0	1000	-3.74
DTPH	0	1000	
MEVK1	0	1000	-3.28
TAGAH_PALM_PALM_PALM_c	-1000	0	
SBTt2	0	1000	
TREH	0	1000	-2.79
URIH	0	1000	-2.99
G3PAT180_1	0	1000	
EX_met__L_e	0	0	
DHQTi	0	1000	-1.26
GF6PTA	0	1000	-3.99
THFOR2	0	1000	
CERS124	0	1000	
4HTHRS	0	1000	-3.3
SHSL1	0	1000	-14.55
DHFS	0	1000	-3.95
23CN2P3	0	1000	-7.68
EX_raffin_e	0	0	
GUAt2r	0	1000	
CHLPCTD	0	1000	-0.79
ABTA	0	1000	-1.55
TMDS	0	1000	-10.56
FRUt1r	0	1000	
CYTDt2	0	1000	
EX_arab__L_e	0	0	
EX_orn_e	0	0	
RHCCE	0	1000	-3.19
LYSTRS	0	1000	
NTD9	0	1000	-1.34
GLUTRS	0	1000	
PPPGO3	0	1000	
ASPO5_1	0	1000	
PMEVK	0	1000	-0.57
HSK	0	1000	-8.11
EPMEACPR	0	1000	
TTDCAtr	0	1000	
RAFFINt2	0	1000	
EX_val__L_e	0	0	
G3PAT180	0	1000	
GALUi	0	1000	-0.03
CLBH	0	1000	
PDE4	0	1000	-8.84
CYSabc	0	1000	-6.16
DINSt2	0	1000	
4ABZt	-1000	0	
PRFGS	0	1000	-13.45
DPCOAPP	0	1000	
r_gapd	0	1000	
MI1PS	0	1000	-14.37
ETHAK	0	1000	-5.41
NAt	0	1000	
GLYt2r	0	1000	
THFOR1	0	1000	
APPAT	0	1000	
RAFGH	0	1000	-1.16
Kt3r	-1000	0	
BTP	0	1000	
ALDD2x	0	1000	-11.48
GPDDA2	0	1000	-14.34
DASYN140	0	1000	
RNDR1	0	1000	
CHORM	0	1000	-11.44
G3PT	0	1000	-2.58
ARGSS	0	1000	
FACOAL140	0	1000	-2.62
XTSNH	0	1000	-0.54
EX_succ_e	0	1000	
NAt3_1	-1000	0	
NTPP11	0	1000	-9.66
3DSPHR	0	1000	-4.29
EX_asp__L_e	0	0	
EAR100y	0	1000	
FA140ACPHi	0	1000	
CRMDA18_c	0	0	
EX_ins_e	0	0	
HMPK3	0	1000	-1.46
PNTOt2	0	1000	
PRO1y	-1000	0	
GLYCK2	0	1000	-1.69
NTP10	0	1000	-7.03
HMR_3915	0	1000	
SULR	0	1000	-29.45
LACZ	0	1000	-97.86
EX_lac__D_e	0	1000	
PNTK	0	1000	-3.61
PPIabc	0	1000	
EX_mmet_e	0	0	
NTP11	0	1000	-6.77
PAPA140	0	1000	
ADEt2	0	1000	
NH4t_1	0	1000	
TRPS2	0	1000	-11.88
DHPTDCs2	0	1000	
3HXKYNDCL	0	1000	
NTPP6	0	1000	-8.43
LYSt2r	0	1000	
RBK	0	1000	-6.42
PSD140	0	1000	
FRUt2	0	1000	
ANPRT	0	1000	-13.69
PPNCL3	0	1000	-11.36
FMETDF	0	1000	-5.28
3NUCLE1	0	1000	-4.12
PGPP160	0	1000	
HETZK	0	1000	-3.78
GRTT	0	1000	-18.13
MGt5	0	1000	
PYRt2	0	1000	
PLDPE_MYRS_MYRS_c	0	1000	
CYS	-1000	0	
AASAD2	0	1000	
ALATRS	0	1000	
EX_hdca_e	0	0	
3OAS80	0	1000	
ACOADAGAT_PALM_PALM_PALM_c	-1000	0	
PGPP180	0	1000	
MTHTHFSs	0	1000	
CITt2r	0	1000	
PPRGL	0	1000	
UAPGR	0	1000	-13.86
GLUt2r	0	1000	
ARGabc	0	1000	-6.16
NTD8	0	1000	-3.35
HMPK2	0	1000	-1.86
AKGMAL	0	1000	0.0
ADNt2	0	1000	
DHAD2	0	1000	-8.44
EX_mal__L_e	0	0	
AHSERL2	0	1000	-14.73
NTPP2	0	1000	-7.62
EX_melib_e	0	0	
CMPL1h	0	0	
AGPAT140	0	1000	
MMETt2	0	1000	
SUCCabc	0	0	-6.16
EX_ac_e	0	1000	
SLCBK1	0	1000	-2.1
NADS2	0	1000	-6.51
ASNS2	0	1000	-4.43
ACt2r	-1000	0	
UPPRT	0	1000	-3.32
HSDy	-1000	0	5.37
AP4AH1	0	1000	
MI1PP	0	1000	-5.17
G5SD	0	1000	-2.34
NADK1	0	1000	
EAR60y	0	1000	
SUCCht2	-1000	0	
R_SINK_dad_5_c	0	1000	
INSTt2	0	1000	
CHOLK	0	1000	-3.99
NTD2	0	1000	-2.05
HSDxi	-1000	0	5.36
NTD10	0	1000	-2.65
BTS6	0	1000	
PPA	0	1000	-3.46
ANNAT	0	1000	
DHQS	0	1000	-35.92
HISTD	0	1000	-1.52
3NUCLE4	0	1000	-3.13
NACt	0	1000	
DAGK140	0	1000	
ADSS	0	1000	-2.34
PLDPC_STC_STC_c	0	1000	
TRE6PP	0	1000	-1.67
SUCRabc	0	1000	
NTD6	0	1000	-3.81
PRFGCL	0	1000	
HXANt2r	0	1000	
PYDXNK	0	1000	-1.76
CHORS	0	1000	-10.37
PPBNGS	0	1000	-24.58
EX_chol_e	0	0	
MEVK2	0	1000	-3.01
TMPPP	0	1000	-5.07
EX_4abz_e	-1000	0	
HSST	0	1000	-6.34
PSD160	0	1000	
SER_AL	0	1000	-6.93
TRE6PS	0	1000	-4.6
GTPCI	0	1000	-18.54
r_lacd1	0	1000	
PFK26	0	1000	-1.1
EX_ile__L_e	0	0	
EX_3mop_e	0	0	
DHFOR	0	1000	
ACht2	-1000	0	
GMAND	0	1000	-13.88
NTP5	0	1000	-5.89
NTP1	0	1000	-6.16
ASNTRS	0	1000	
PFK_3	0	1000	-3.49
EAR180x	0	1000	
TRPt2r	0	1000	
3OAS160	0	1000	
METS	0	1000	-1.81
EX_gly_e	0	0	
MELIBt2	0	1000	
SQLS	0	1000	-38.87
PGSA180	0	1000	
UAGDP	0	1000	-0.81
MEVK3	0	1000	-2.68
PPNCL	0	1000	-8.82
DNADDP	0	1000	
METTRS	0	1000	
HMBS	0	1000	-32.71
AMETt2	0	1000	
GLUSy	0	1000	-11.53
3HAD160	0	1000	
HYDh3	-1000	0	
PIt8	0	1000	
3MOPt	0	1000	
GLCt1	0	1000	
EAR140x	0	1000	
NTPP8	0	1000	-7.05
ADSK	0	1000	-3.41
EAR80x	0	1000	
AGMIS	0	1000	
HSTPT	0	1000	-1.82
NDP3	0	1000	-5.52
Biomass	0	1000	
DBTS	0	1000	-2.98
NTP8	0	1000	-6.45
GLUTRR	0	1000	
IPMD	0	1000	-4.44
MANt2	0	1000	
XYLt	0	1000	
EX_hco3_e	0	0	
ADPT	0	1000	-3.85
KAS15	0	1000	
CSND	0	1000	-7.27
MGSA	0	1000	-14.0
NPH	0	1000	
SPHK21c	0	1000	
GLUN	0	1000	-2.82
G3PAT140	0	1000	
DURIK1	0	1000	-3.07
2AMACHYD	0	1000	
CTPS2	0	1000	-2.95
DADA	0	1000	-5.09
PDXPP	0	1000	-4.4
EX_cellulose_e	0	0	
ASPt2r	0	1000	
PHEt2r	0	1000	
3OAS60	0	1000	
MALt	0	1000	
HISt2r	0	1000	
ACACCT	0	1000	-1.32
MHPGLUT	0	1000	-10.7
CBPS	0	1000	-1.42
PGSA140	0	1000	
FMNAT	0	1000	-3.08
ADMDC	0	1000	-5.47
EX_hemicellulose_e	0	0	
PFLh	0	1000	
TYRt2r	0	1000	
AASAD1	0	1000	
EX_dgsn_e	0	0	
ALDD20y	0	1000	-8.67
MALht	0	1000	
APRAUR	0	1000	-6.72
UPPDC1	0	1000	-8.15
EX_pnto__R_e	0	0	
EX_oaa_e	0	0	
HPPK2	0	1000	
ATPShydr	0	0	
EX_glu__L_e	0	0	
NTPP7	0	1000	-8.78
EX_etoh_e	0	1000	
PGLYCP	0	1000	-7.41
RNDR2	0	1000	
EX_dttp_e	0	0	
EX_adn_e	0	0	
SPHPL	0	1000	-0.08
EX_hxan_e	0	0	
3NUCLE3	0	1000	-5.09
EX_dcyt_e	0	0	
DPCOAK	0	1000	-0.57
XYLK	0	1000	-5.42
AHCYSNS	0	1000	-3.86
KARI_23dhmp_1	0	1000	
URIK1	0	1000	-4.11
EX_co2_e	0	1000	
PRATPP	0	1000	-27.3
MI13456PK	0	1000	
MANt1r	0	1000	
MALTabc	0	1000	-6.16
CHLt2	0	1000	
GLYOX	0	1000	-6.76
LEUTRS	0	1000	
MI3PS	0	1000	
NTP3	0	1000	-5.56
RBFSa	0	1000	
HMPK4	0	1000	-1.53
GLDBRAN2	0	1000	
ADNCYC	0	1000	-1.72
PYDXS	0	1000	
AASAD3	0	1000	
HCYSMT	0	1000	-13.15
PSERT	0	1000	-2.65
TRPTRS	0	1000	
FFSD	0	1000	-7.51
OGMEACPD	0	1000	
HDCAt	0	1000	
EX_xylan_e	0	0	
GALt2	0	1000	
NDP7	0	1000	-5.03
EX_gln__L_e	0	0	
SHKK	0	1000	-5.63
NTD7	0	1000	-3.37
NT5C	0	1000	
3OAS100	0	1000	
EX_akg_e	0	0	
MI1456PK	0	1000	
ASNS1	0	1000	-7.24
EGMEACPR	0	1000	
AKP1	0	1000	-15.7
D_LACt2	-1000	0	
DHAD1	0	1000	-8.44
CSNt2	0	1000	
HISTP	0	1000	-4.1
NTD3	0	1000	-3.78
OCDCAt	0	1000	
DPMVD	0	1000	-7.82
EX_nadp_e	0	0	
GLCP2	0	1000	-228.78
CAt4	-1000	0	
HBCO_nadp	0	1000	
ASPO5	0	1000	-0.35
G3PAT160_1	0	1000	
CYSt2r	0	1000	
EX_thr__L_e	0	0	
FA180ACPH	0	1000	
GLNTRS	0	1000	
r_dextrinase	0	1000	
GPAR	0	1000	
PETHCT	0	1000	-0.21
ASNt2r	0	1000	
MI1345PP	0	1000	
CMPL2h	0	0	
EX_cit_e	0	0	
FUMh	0	0	
APNPT	0	1000	
FKYNH	0	1000	-7.42
EAR160x	0	1000	
FMNRx	0	1000	-4.01
RBFSb	0	1000	
3HAD100	0	1000	
NTD4	0	1000	-3.34
ADATT	-1000	0	
DGSNt2	0	1000	
EX_phe__L_e	0	0	
GLYCt2	0	1000	
ADA	0	1000	-5.49
UDPGP	0	1000	
BUPN	0	1000	
AAMYL	0	1000	
HMGCOAR	-1000	0	0.48
DURIt2	0	1000	
EX_nac_e	0	0	
PHETRS	0	1000	
FA160ACPHi	0	1000	
EX_ttdca_e	0	0	
EAR180y	0	1000	
EX_lys__L_e	0	0	
GLUPRT	0	1000	-12.98
IMPD	0	1000	-4.75
NNMT	0	1000	-3.8
ALCD19y	0	1000	-9.31
PFL	0	1000	-4.94
PMPK	0	1000	-1.2
DHAK	0	1000	-3.17
G5SADs	0	1000	-8.07
PFOh	0	1000	
ARBabc	0	1000	-6.16
ANS	0	1000	-24.76
CMPA_1	0	1000	
3NUCLE2	0	1000	-3.32
GLYCDy	0	1000	-5.73
HEX4	0	1000	-3.05
HCYSMT2	0	1000	-13.15
3OAS140	0	1000	
GUAD	0	1000	-8.88
RMNabc	0	1000	
ASPTRS	0	1000	
ITKPK	0	1000	
ACHBS	0	1000	-5.83
CERS126	0	1000	
SUCCht1	-1000	0	
ETOHt2r	-1000	0	
SERD_L	0	1000	-6.93
VALTRS	0	1000	
PMI12346PH	0	1000	-7.1
LYSDC	0	1000	-5.96
EX_etha_e	0	0	
GALK2	0	1000	
PYK	0	1000	-6.53
PMI12346PS	0	1000	-0.94
ARGt2r	0	1000	
ORNt2r	0	1000	
CERS226	0	1000	
FTHFLi	0	1000	-1.89
EX_rmn_e	0	0	
SERTRS	0	1000	
XPPT	0	1000	-5.17
INSt2	0	1000	
HXPRT	0	1000	-6.11
MI145PK	0	1000	
EX_man_e	0	0	
GLUt4	0	1000	
CPPPGO2	0	1000	
TRPS1	0	1000	
DASYN160	0	1000	
EX_ala__L_e	0	0	
EAR60x	0	1000	
OAAt	0	1000	
NTD5	0	1000	-2.42
DASYN180	0	1000	
MALCOAMT	0	1000	
NADK	0	1000	-3.14
MALTt2	0	1000	
EX_leu__L_e	0	0	
CYSS	0	1000	-11.8
ALDD20x	0	1000	-8.6
EAR120x	0	1000	
FMNRx2	0	1000	-4.01
EX_gal_e	0	0	
DCYTD	0	1000	-5.16
IGPDH	0	1000	-9.86
EAR40y	0	1000	
METOX2s	0	1000	
RBFK	0	1000	-2.12
EX_trp__L_e	0	0	
SUCRt2	0	1000	
ME2	0	1000	-3.13
LEUTAi	0	1000	-0.07
INSH	0	1000	-0.95
EX_arab__D_e	0	0	
BG_CELLB	0	1000	
UDPGALM	0	1000	-0.59
PRASCSi	0	1000	
CYTD	0	1000	-3.8
PLDPE_PALM_PALM_c	0	1000	
THRA	0	1000	-2.36
ORNTAC	0	1000	-1.75
CYSDS	0	1000	-0.83
GALS3	0	1000	-97.9
EX_rib__D_e	0	0	
NTD1	0	1000	-3.09
ARGN	0	1000	-9.31
IGPS	0	1000	
FTHFD	0	1000	-4.27
HYPOE	0	1000	-3.21
CYSTL	0	1000	-0.85
PROt2r	0	1000	
DPR	0	1000	-4.56
3OAS120	0	1000	
OBTFL	0	1000	-0.45
DMATT	0	1000	-17.84
R_DM_4mhetz_c	-1000	0	
HEX1	0	1000	-4.01
MAGAH160	-1000	0	
OPMEACPS	0	1000	
FORht2	-1000	0	
HEX7	0	1000	-2.81
PMDPHT	0	1000	
AOXSr2	0	1000	
EAR140y	0	1000	
PNP	0	1000	-3.68
EX_tyr__L_e	0	0	
GLCt2	0	1000	
EX_his__L_e	0	0	
PSP_L	0	1000	-2.46
PGCD	0	1000	-8.09
PYDXK	0	1000	-3.45
DB4PS	0	1000	-20.06
FRTT	0	1000	-18.13
GLU5K	0	1000	-6.51
EX_csn_e	0	0	
GSNt2	0	1000	
SERPT	0	1000	-1.74
NMNTP	0	1000	0.0
THRD	0	1000	-6.62
THRTRS	0	1000	
METSOXR2	0	1000	
PSPHPL	0	1000	
MALS	0	1000	-8.1
R_DM_4ahmmp_c	-1000	0	
