Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q9WUM5	SUCA_MOUSE	reviewed	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	Suclg1	Mus musculus (Mouse)	346
Q84LB6	SUCB_SOLLC	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)		Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	417
P53593	SUCC_PSEAE	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PA1588	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	388
Q8LAD2	SUCA2_ARATH	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha-2, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha-2) (SCS-alpha-2)	At5g23250 MKD15.11	Arabidopsis thaliana (Mouse-ear cress)	341
O82662	SUCB_ARATH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)	At2g20420 F11A3.3	Arabidopsis thaliana (Mouse-ear cress)	421
P53312	SUCB_YEAST	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)	LSC2 YGR244C G8625	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	427
Q8GTQ9	SUCA1_SOLLC	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha-1, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha-1) (SCS-alpha-1)	SCOA	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	332
Q9YGD2	SUCA_COLLI	reviewed	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha) (Fragment)	SUCLG1	Columba livia (Rock dove)	306
Q9YI37	SUCB1_COLLI	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA) (Fragment)	SUCLA2	Columba livia (Rock dove)	413
Q6DQL1	SUCA2_SOLLC	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha-2, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha-2) (SCS-alpha-2)		Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	337
Q9Z2I9	SUCB1_MOUSE	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA)	Sucla2	Mus musculus (Mouse)	463
Q51567	SUCD_PSEAE	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD PA1589	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	295
Q58DR8	SUCA_BOVIN	reviewed	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	SUCLG1	Bos taurus (Bovine)	346
P53596	SUCA_CAEEL	reviewed	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucl-1 C05G5.4	Caenorhabditis elegans	322
Q148D5	SUCB1_BOVIN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA)	SUCLA2	Bos taurus (Bovine)	463
O13750	SUCA_SCHPO	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	SPAC16E8.17c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	331
O97580	SUCB1_PIG	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA) (Fragment)	SUCLA2	Sus scrofa (Pig)	425
P53588	SUCB1_CAEEL	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA)	suca-1 F47B10.1	Caenorhabditis elegans	435
Q55AI5	SUCB1_DICDI	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA)	scsC sucla2 DDB_G0271842	Dictyostelium discoideum (Slime mold)	445
Q6K9N6	SUCB_ORYSJ	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)	Os02g0621700 LOC_Os02g40830 OJ1234_B11.18 OsJ_07569	Oryza sativa subsp. japonica (Rice)	422
B3FHP0	SUCB_BLAHN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)	SCSb	Blastocystis sp. subtype 1 (strain ATCC 50177 / NandII)	416
P80886	SUCC_BACSU	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BSU16090	Bacillus subtilis (strain 168)	385
Q4R517	SUCB1_MACFA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA)	SUCLA2 QflA-11886	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	463
P80865	SUCD_BACSU	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD BSU16100	Bacillus subtilis (strain 168)	300
O94415	SUCB_SCHPO	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)	SPCC1620.08	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	433
Q03184	SUCB_TRIVA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, hydrogenosomal (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)		Trichomonas vaginalis	407
P9WGC7	SUCD_MYCTU	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD Rv0952 MTCY10D7.22c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	303
P9WGC5	SUCC_MYCTU	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Rv0951 MTCY10D7.23c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	387
Q9P567	SUCB_NEUCR	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)	tca-9 B9J10.140 NCU08471	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	447
Q9P727	SUCA_NEUCR	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	tca-8 8D4.130 NCU01227	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	333
P53401	SUCA3_TRIVA	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha-3, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha-3) (SCS-alpha-3)	ALPHA-SCS3	Trichomonas vaginalis	309
Q7UKI3	SUCC_RHOBA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC RB10617	Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1)	394
O87840	SUCC2_STRCO	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta 2 (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta 2) (SCS-beta 2)	sucC2 sucC SCO6585 SC8A6.06	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	383
Q6ZL94	SUCA_ORYSJ	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	Os07g0577700 LOC_Os07g38970 OJ1065_B06.20 OsJ_24862	Oryza sativa subsp. japonica (Rice)	331
Q9HPP1	SUCC_HALSA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC VNG_1541G	Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium)	382
P53587	SUCB_NEOFR	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, hydrogenosomal (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)	SCSB	Neocallimastix frontalis (Rumen fungus)	437
O67546	SUCC_AQUAE	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC aq_1620	Aquifex aeolicus (strain VF5)	385
Q89X60	SUCC_BRADU	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC bll0455	Bradyrhizobium diazoefficiens (strain JCM 10833 / IAM 13628 / NBRC 14792 / USDA 110)	398
Q8EFN8	SUCC_SHEON	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SO_1932	Shewanella oneidensis (strain MR-1)	388
Q8A9M7	SUCC_BACTN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BT_0788	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482)	376
Q8ZH00	SUCC_YERPE	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC YPO1115 y3065 YP_1041	Yersinia pestis	388
Q9RUY3	SUCC_DEIRA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC DR_1247	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	386
Q9KY56	SUCC1_STRCO	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta 1 (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta 1) (SCS-beta 1)	sucC1 SCO4808 SCD63A.19	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	394
P66869	SUCC_SALTY	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC STM0738	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	388
Q74EA5	SUCC_GEOSL	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC GSU1058	Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA)	385
A9WJ74	SUCC_CHLAA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Caur_1121	Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl)	380
Q9KQB5	SUCC_VIBCH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC VC_2085	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	388
P45101	SUCC_HAEIN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC HI_1196	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	389
Q9JZP4	SUCC_NEIMB	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC NMB0959	Neisseria meningitidis serogroup B (strain MC58)	388
Q2FZ37	SUCC_STAA8	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SAOUHSC_01216	Staphylococcus aureus (strain NCTC 8325)	388
P53400	SUCA2_TRIVA	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha-2, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha-2) (SCS-alpha-2)	ALPHA-SCS2	Trichomonas vaginalis	309
P53592	SUCC_COXBU	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC CBU_1397	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	390
Q8P676	SUCC_XANCP	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC XCC3094	Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25)	389
Q8F746	SUCC_LEPIN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC LA_1102	Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601)	390
B3FHT4	SUCA_BLAHN	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	SCSa	Blastocystis sp. subtype 1 (strain ATCC 50177 / NandII)	318
P53399	SUCA1_TRIVA	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha-1, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha-1) (SCS-alpha-1)	ALPHA-SCS1	Trichomonas vaginalis	309
O84828	SUCC_CHLTR	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC CT_821	Chlamydia trachomatis (strain D/UW-3/Cx)	386
Q819X0	SUCC_BACCR	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BC_3834	Bacillus cereus (strain ATCC 14579 / DSM 31 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NRRL B-3711)	386
P45102	SUCD_HAEIN	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD HI_1197	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	293
P53591	SUCD_COXBU	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD CBU_1396	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	294
Q57663	SUCC_METJA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC MJ0210	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	364
Q58643	SUCD_METJA	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD MJ1246	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	294
Q8ZVF3	SUCC_PYRAE	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PAE2312	Pyrobaculum aerophilum (strain ATCC 51768 / IM2 / DSM 7523 / JCM 9630 / NBRC 100827)	382
O67547	SUCD_AQUAE	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD aq_1622	Aquifex aeolicus (strain VF5)	305
Q8NMK7	SUCC_CORGL	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Cgl2566 cg2837	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025)	398
P0A838	SUCC_ECO57	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Z0882 ECs0753	Escherichia coli O157:H7	388
P0A839	SUCC_SHIFL	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SF0569 S0582	Shigella flexneri	388
P0A837	SUCC_ECOL6	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC c0805	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	388
Q5NHF3	SUCC_FRATT	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC FTT_0504c	Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4)	387
O28732	SUCC1_ARCFU	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta 1 (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta 1) (SCS-beta 1)	sucC1 AF_1540	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	382
P86226	SUCB1_MESAU	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA) (Fragments)	Sucla2	Mesocricetus auratus (Golden hamster)	221
Q883Z4	SUCC_PSESM	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PSPTO_2202 PSPTO2202	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	388
Q8KFE7	SUCC_CHLTE	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC CT0380	Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) (Chlorobium tepidum)	392
A0R3M4	SUCC_MYCS2	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC MSMEG_5525 MSMEI_5373	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	387
Q8UC60	SUCC_AGRFC	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Atu2638 AGR_C_4780	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	397
Q9Z5H8	SUCC_MYCLE	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ML0155 MLCB373.03	Mycobacterium leprae (strain TN)	393
A4XV90	SUCC_PSEMY	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Pmen_2500	Pseudomonas mendocina (strain ymp)	388
C5C916	SUCC_MICLC	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Mlut_04270	Micrococcus luteus (strain ATCC 4698 / DSM 20030 / JCM 1464 / NBRC 3333 / NCIMB 9278 / NCTC 2665 / VKM Ac-2230) (Micrococcus lysodeikticus)	389
O05966	SUCC_RICPR	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC RP433	Rickettsia prowazekii (strain Madrid E)	386
A8M469	SUCC_SALAI	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Sare_4203	Salinispora arenicola (strain CNS-205)	392
A1UQV9	SUCC_BARBK	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BARBAKC583_0023	Bartonella bacilliformis (strain ATCC 35685 / NCTC 12138 / KC583)	398
Q13UH9	SUCC_PARXL	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Bxeno_A3722 Bxe_A0674	Paraburkholderia xenovorans (strain LB400)	389
B7J4G8	SUCC_ACIF2	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC AFE_0425	Acidithiobacillus ferrooxidans (strain ATCC 23270 / DSM 14882 / CIP 104768 / NCIMB 8455) (Ferrobacillus ferrooxidans (strain ATCC 23270))	387
Q9AB94	SUCC_CAUVC	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC CC_0337	Caulobacter vibrioides (strain ATCC 19089 / CB15) (Caulobacter crescentus)	399
Q7NZ47	SUCC_CHRVO	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC CV_1075	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757)	390
A6UDP2	SUCC_SINMW	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Smed_2943	Sinorhizobium medicae (strain WSM419) (Ensifer medicae)	398
Q73FW3	SUCC_WOLPM	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC WD_1210	Wolbachia pipientis wMel	383
Q1D6I9	SUCC_MYXXD	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC MXAN_3541	Myxococcus xanthus (strain DK 1622)	386
